Subject	ROI_index	ROI_name	old_cluster	new_cluster
sub-003	4	OFA_right	10	15
sub-003	2	FFA_right	10	16
sub-006	2	FFA_right	10	15
sub-006	3	OFA_left	10	16
sub-006	1	FFA_left	10	17
sub-006	4	OFA_right	10	18
sub-014	2	FFA_right	7	11
sub-014	4	OFA_right	7	12
sub-016	2	FFA_right	11	12
sub-016	4	OFA_right	11	13
sub-017	5	STS_left	10	12
sub-017	3	OFA_left	10	13
sub-017	1	FFA_left	10	14
sub-019	4	OFA_right	6	9
sub-019	2	FFA_right	6	10
sub-023	2	FFA_right	10	12
sub-023	4	OFA_right	10	13
sub-026	2	FFA_right	3	8
sub-026	4	OFA_right	3	9
sub-026	3	OFA_left	4	10
sub-026	1	FFA_left	4	11
sub-027	2	FFA_right	7	11
sub-027	4	OFA_right	7	12
sub-028	2	FFA_right	4	7
sub-028	4	OFA_right	4	8
sub-029	4	OFA_right	12	15
sub-029	2	FFA_right	12	16
sub-034	2	FFA_right	7	9
sub-034	4	OFA_right	7	10
sub-037	2	FFA_right	13	16
sub-037	4	OFA_right	13	17
sub-038	1	FFA_left	12	15
sub-038	3	OFA_left	12	16
sub-039	2	FFA_right	9	11
sub-039	4	OFA_right	9	12
sub-041	1	FFA_left	12	15
sub-041	3	OFA_left	12	16
sub-043	2	FFA_right	14	17
sub-043	4	OFA_right	14	18
sub-050	4	OFA_right	7	9
sub-050	2	FFA_right	7	10
