subjectID	order	run	before_or_after	session(visit)	itemName	bidInd	isMale?	onsettime	fixationTime
MRI_faces_131	 1	 1	 after	 1	 1052.jpg	 47	 1	 2.154662	 4.025623	
MRI_faces_131	 1	 1	 after	 1	 2006.jpg	 10	 0	 8.025718	 10.025768	
MRI_faces_131	 1	 1	 after	 1	 1262.jpg	 39	 1	 11.025780	 13.025795	
MRI_faces_131	 1	 1	 after	 1	 2155.jpg	 3	 0	 15.025868	 17.025900	
MRI_faces_131	 1	 1	 after	 1	 2058.jpg	 16	 0	 19.025962	 21.025982	
MRI_faces_131	 1	 1	 after	 1	 2063.jpg	 17	 0	 27.026034	 29.026035	
MRI_faces_131	 1	 1	 after	 1	 1216.jpg	 51	 1	 30.026141	 32.026533	
MRI_faces_131	 1	 1	 after	 1	 2024.jpg	 40	 0	 35.027049	 37.027401	
MRI_faces_131	 1	 1	 after	 1	 2153.jpg	 7	 0	 38.027589	 40.026270	
MRI_faces_131	 1	 1	 after	 1	 2209.jpg	 15	 0	 44.026308	 46.026306	
MRI_faces_131	 1	 1	 after	 1	 2015.jpg	 22	 0	 49.026399	 51.026333	
MRI_faces_131	 1	 1	 after	 1	 2094.jpg	 6	 0	 52.026470	 54.026487	
MRI_faces_131	 1	 1	 after	 1	 2218.jpg	 4	 0	 56.026564	 58.026532	
MRI_faces_131	 1	 1	 after	 1	 1013.jpg	 44	 1	 60.026485	 62.026514	
MRI_faces_131	 1	 1	 after	 1	 2053.jpg	 45	 0	 65.026570	 67.026687	
MRI_faces_131	 1	 1	 after	 1	 2112.jpg	 13	 0	 70.026627	 72.026676	
MRI_faces_131	 1	 1	 after	 1	 1145.jpg	 58	 1	 75.026723	 77.026680	
MRI_faces_131	 1	 1	 after	 1	 2194.jpg	 56	 0	 79.026741	 81.026861	
MRI_faces_131	 1	 1	 after	 1	 1080.jpg	 50	 1	 83.026763	 85.026804	
MRI_faces_131	 1	 1	 after	 1	 2149.jpg	 41	 0	 87.026940	 89.026946	
MRI_faces_131	 1	 1	 after	 1	 2212.jpg	 5	 0	 90.026925	 92.026919	
MRI_faces_131	 1	 1	 after	 1	 1183.jpg	 53	 1	 94.026960	 96.027035	
MRI_faces_131	 1	 1	 after	 1	 2010.jpg	 9	 0	 97.027022	 99.026991	
MRI_faces_131	 1	 1	 after	 1	 1146.jpg	 48	 1	 100.027078	 102.027134	
MRI_faces_131	 1	 1	 after	 1	 2229.jpg	 20	 0	 103.027073	 105.027082	
MRI_faces_131	 1	 1	 after	 1	 1073.jpg	 19	 1	 107.027170	 109.027144	
MRI_faces_131	 1	 1	 after	 1	 1210.jpg	 14	 1	 112.027182	 114.027203	
MRI_faces_131	 1	 1	 after	 1	 2045.jpg	 52	 0	 115.027268	 117.027256	
MRI_faces_131	 1	 1	 after	 1	 2248.jpg	 8	 0	 118.027350	 120.027283	
MRI_faces_131	 1	 1	 after	 1	 1017.jpg	 49	 1	 123.027344	 125.027460	
MRI_faces_131	 1	 1	 after	 1	 1114.jpg	 18	 1	 126.027336	 128.027460	
MRI_faces_131	 1	 1	 after	 1	 1019.jpg	 43	 1	 129.027367	 131.027395	
MRI_faces_131	 1	 1	 after	 1	 2089.jpg	 12	 0	 134.027565	 136.027971	
MRI_faces_131	 1	 1	 after	 1	 2110.jpg	 55	 0	 139.027623	 141.027553	
MRI_faces_131	 1	 1	 after	 1	 1202.jpg	 11	 1	 142.027540	 144.027729	
MRI_faces_131	 1	 1	 after	 1	 1226.jpg	 42	 1	 145.027630	 147.027620	
MRI_faces_131	 1	 1	 after	 1	 1150.jpg	 54	 1	 148.013405	 150.013693	
MRI_faces_131	 1	 1	 after	 1	 1035.jpg	 46	 1	 151.013895	 153.014179	
MRI_faces_131	 1	 1	 after	 1	 2164.jpg	 21	 0	 158.027781	 160.027802	
MRI_faces_131	 1	 1	 after	 1	 1127.jpg	 57	 1	 161.015604	 163.027873	
