subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	ixationTime	
MRI_faces_144	 1	 2	 02	 1	 1	 2.015898e+00	 1035.jpg	 1146.jpg	 46	 53	 1	 b	 2	 1	 1058.74	 0.31	 0.19	 3.567388e+00	 
MRI_faces_144	 1	 2	 02	 1	 2	 6.016587e+00	 1060.jpg	 1183.jpg	 49	 52	 1	 b	 2	 1	 1176.05	 0.27	 0.23	 7.683720e+00	 
MRI_faces_144	 1	 2	 02	 1	 3	 9.017063e+00	 2153.jpg	 2006.jpg	 10	 8	 0	 y	 1	 1	 855.57	 0.79	 0.80	 1.036755e+01	 
MRI_faces_144	 1	 2	 02	 1	 4	 1.401808e+01	 1073.jpg	 2212.jpg	 56	 6	 0	 y	 4	 1	 865.55	 0.15	 0.81	 1.538479e+01	 
MRI_faces_144	 1	 2	 02	 1	 5	 1.701849e+01	 1114.jpg	 1145.jpg	 51	 45	 1	 b	 2	 1	 1213.15	 0.23	 0.32	 1.873070e+01	 
MRI_faces_144	 1	 2	 02	 1	 6	 2.001910e+01	 1204.jpg	 1060.jpg	 44	 49	 0	 x	 2	 999	 999000.00	 0.34	 0.27	 2.201953e+01	 
MRI_faces_144	 1	 2	 02	 1	 7	 3.401409e+01	 1146.jpg	 1060.jpg	 53	 49	 0	 y	 2	 1	 775.55	 0.19	 0.27	 3.528862e+01	 
MRI_faces_144	 1	 2	 02	 1	 8	 3.801414e+01	 2229.jpg	 2128.jpg	 9	 18	 1	 b	 1	 1	 741.50	 0.80	 0.65	 3.925585e+01	 
MRI_faces_144	 1	 2	 02	 1	 9	 4.201426e+01	 2194.jpg	 2229.jpg	 7	 9	 0	 y	 1	 1	 671.41	 0.81	 0.80	 4.318988e+01	 
MRI_faces_144	 1	 2	 02	 1	 10	 4.501428e+01	 2194.jpg	 2125.jpg	 7	 11	 0	 y	 1	 1	 591.35	 0.81	 0.77	 4.610710e+01	 
MRI_faces_144	 1	 2	 02	 1	 11	 4.801428e+01	 1204.jpg	 1035.jpg	 44	 46	 0	 y	 2	 1	 724.37	 0.34	 0.31	 4.924107e+01	 
MRI_faces_144	 1	 2	 02	 1	 12	 5.301444e+01	 2041.jpg	 2128.jpg	 17	 18	 1	 y	 1	 0	 628.20	 0.67	 0.65	 5.414793e+01	 
MRI_faces_144	 1	 2	 02	 1	 13	 5.601442e+01	 1145.jpg	 1127.jpg	 45	 54	 0	 y	 2	 1	 696.23	 0.32	 0.17	 5.721456e+01	 
MRI_faces_144	 1	 2	 02	 1	 14	 6.601455e+01	 2128.jpg	 2024.jpg	 18	 14	 0	 y	 1	 1	 648.10	 0.65	 0.73	 6.716473e+01	 
MRI_faces_144	 1	 2	 02	 1	 15	 7.201465e+01	 2045.jpg	 2229.jpg	 13	 9	 0	 y	 1	 1	 701.98	 0.73	 0.80	 7.321478e+01	 
MRI_faces_144	 1	 2	 02	 1	 16	 7.501472e+01	 1204.jpg	 1127.jpg	 44	 54	 0	 b	 2	 0	 847.92	 0.34	 0.17	 7.636480e+01	 
MRI_faces_144	 1	 2	 02	 1	 17	 7.901479e+01	 1146.jpg	 1019.jpg	 53	 43	 0	 y	 2	 1	 927.85	 0.19	 0.35	 8.044650e+01	 
MRI_faces_144	 1	 2	 02	 1	 18	 8.401488e+01	 1191.jpg	 1114.jpg	 50	 51	 0	 b	 2	 0	 978.76	 0.25	 0.23	 8.549736e+01	 
MRI_faces_144	 1	 2	 02	 1	 19	 9.101490e+01	 2053.jpg	 2045.jpg	 16	 13	 1	 y	 1	 0	 882.73	 0.69	 0.73	 9.239852e+01	 
MRI_faces_144	 1	 2	 02	 1	 20	 9.601566e+01	 1060.jpg	 1216.jpg	 49	 47	 1	 y	 2	 0	 1229.97	 0.27	 0.30	 9.774850e+01	 
MRI_faces_144	 1	 2	 02	 1	 21	 9.901624e+01	 2006.jpg	 2058.jpg	 8	 15	 1	 b	 1	 1	 905.38	 0.80	 0.70	 1.004166e+02	 
MRI_faces_144	 1	 2	 02	 1	 22	 1.050174e+02	 2024.jpg	 2045.jpg	 14	 13	 1	 y	 1	 0	 1209.27	 0.73	 0.73	 1.067178e+02	 
MRI_faces_144	 1	 2	 02	 1	 23	 1.090180e+02	 2006.jpg	 2063.jpg	 8	 12	 1	 b	 1	 1	 675.67	 0.80	 0.77	 1.101850e+02	 
MRI_faces_144	 1	 2	 02	 1	 24	 1.210153e+02	 2041.jpg	 2153.jpg	 17	 10	 1	 y	 1	 0	 699.32	 0.67	 0.79	 1.222154e+02	 
MRI_faces_144	 1	 2	 02	 1	 25	 1.240155e+02	 2053.jpg	 2153.jpg	 16	 10	 1	 y	 1	 0	 740.17	 0.69	 0.79	 1.252544e+02	 
MRI_faces_144	 1	 2	 02	 1	 26	 1.270154e+02	 1183.jpg	 1127.jpg	 52	 54	 0	 b	 2	 0	 821.25	 0.23	 0.17	 1.283381e+02	 
MRI_faces_144	 1	 2	 02	 1	 27	 1.310154e+02	 1150.jpg	 1204.jpg	 48	 44	 1	 y	 2	 0	 904.26	 0.28	 0.34	 1.324222e+02	 
MRI_faces_144	 1	 2	 02	 1	 28	 1.370155e+02	 2053.jpg	 2063.jpg	 16	 12	 1	 y	 1	 0	 740.14	 0.69	 0.77	 1.382567e+02	 
MRI_faces_144	 1	 2	 02	 1	 29	 1.400156e+02	 2194.jpg	 2053.jpg	 7	 16	 0	 y	 1	 1	 749.00	 0.81	 0.69	 1.412658e+02	 
MRI_faces_144	 1	 2	 02	 1	 30	 1.490157e+02	 1145.jpg	 1035.jpg	 45	 46	 0	 y	 2	 1	 997.95	 0.32	 0.31	 1.505158e+02	 
MRI_faces_144	 1	 2	 02	 1	 31	 1.530158e+02	 2063.jpg	 2024.jpg	 12	 14	 0	 y	 1	 1	 917.84	 0.77	 0.73	 1.544324e+02	 
MRI_faces_144	 1	 2	 02	 1	 32	 1.570158e+02	 2006.jpg	 2045.jpg	 8	 13	 1	 b	 1	 1	 683.87	 0.80	 0.73	 1.581993e+02	 
MRI_faces_144	 1	 2	 02	 1	 33	 1.600159e+02	 1216.jpg	 1019.jpg	 47	 43	 0	 y	 2	 1	 844.77	 0.30	 0.35	 1.613605e+02	 
MRI_faces_144	 1	 2	 02	 1	 34	 1.630159e+02	 1150.jpg	 1145.jpg	 48	 45	 1	 b	 2	 1	 830.71	 0.28	 0.32	 1.643493e+02	 
MRI_faces_144	 1	 2	 02	 1	 35	 1.730161e+02	 1216.jpg	 1127.jpg	 47	 54	 0	 y	 2	 1	 1023.56	 0.30	 0.17	 1.745329e+02	 
MRI_faces_144	 1	 2	 02	 1	 36	 1.770161e+02	 2024.jpg	 2194.jpg	 14	 7	 1	 x	 1	 999	 999000.00	 0.73	 0.81	 1.790162e+02	 
MRI_faces_144	 1	 2	 02	 1	 37	 1.850162e+02	 1019.jpg	 1191.jpg	 43	 50	 1	 b	 2	 1	 702.48	 0.35	 0.25	 1.862163e+02	 
MRI_faces_144	 1	 2	 02	 1	 38	 1.880180e+02	 2015.jpg	 1013.jpg	 5	 55	 1	 b	 4	 1	 687.67	 0.86	 0.16	 1.891997e+02	 
