subjectID	order	run	before_or_after	session(visit)	itemName	bidInd	isMale?	onsettime	fixationTime
MRI_faces_101	 1	 1	 before	 1	 1216.jpg	 13	 1	 2.129121	 4.029520	
MRI_faces_101	 1	 1	 before	 1	 2128.jpg	 40	 0	 6.029810	 8.030181	
MRI_faces_101	 1	 1	 before	 1	 2053.jpg	 8	 0	 11.030686	 13.031043	
MRI_faces_101	 1	 1	 before	 1	 2218.jpg	 22	 0	 15.031410	 17.025218	
MRI_faces_101	 1	 1	 before	 1	 2155.jpg	 53	 0	 20.025229	 22.025199	
MRI_faces_101	 1	 1	 before	 1	 1031.jpg	 10	 1	 24.025225	 26.025288	
MRI_faces_101	 1	 1	 before	 1	 1262.jpg	 50	 1	 27.025248	 29.025370	
MRI_faces_101	 1	 1	 before	 1	 1204.jpg	 51	 1	 31.025322	 33.025403	
MRI_faces_101	 1	 1	 before	 1	 1035.jpg	 9	 1	 35.025377	 37.025469	
MRI_faces_101	 1	 1	 before	 1	 1150.jpg	 56	 1	 41.025540	 43.025585	
MRI_faces_101	 1	 1	 before	 1	 2164.jpg	 19	 0	 44.025540	 46.025572	
MRI_faces_101	 1	 1	 before	 1	 2015.jpg	 16	 0	 47.025608	 49.025604	
MRI_faces_101	 1	 1	 before	 1	 1073.jpg	 39	 1	 52.025740	 54.025657	
MRI_faces_101	 1	 1	 before	 1	 2118.jpg	 5	 0	 60.025817	 62.025857	
MRI_faces_101	 1	 1	 before	 1	 2153.jpg	 7	 0	 63.025869	 65.025788	
MRI_faces_101	 1	 1	 before	 1	 2043.jpg	 11	 0	 66.025923	 68.025895	
MRI_faces_101	 1	 1	 before	 1	 1050.jpg	 17	 1	 69.025872	 71.025890	
MRI_faces_101	 1	 1	 before	 1	 1052.jpg	 43	 1	 72.025911	 74.026014	
MRI_faces_101	 1	 1	 before	 1	 2045.jpg	 6	 0	 75.025926	 77.026052	
MRI_faces_101	 1	 1	 before	 1	 2010.jpg	 4	 0	 79.026033	 81.026339	
MRI_faces_101	 1	 1	 before	 1	 1226.jpg	 46	 1	 82.026485	 84.026836	
MRI_faces_101	 1	 1	 before	 1	 1007.jpg	 42	 1	 85.026935	 87.027350	
MRI_faces_101	 1	 1	 before	 1	 2024.jpg	 41	 0	 90.029572	 92.030685	
MRI_faces_101	 1	 1	 before	 1	 1146.jpg	 49	 1	 95.028741	 97.029095	
MRI_faces_101	 1	 1	 before	 1	 2194.jpg	 54	 0	 102.029948	 104.030148	
MRI_faces_101	 1	 1	 before	 1	 1127.jpg	 44	 1	 105.030460	 107.030800	
MRI_faces_101	 1	 1	 before	 1	 1192.jpg	 47	 1	 108.030974	 110.031389	
MRI_faces_101	 1	 1	 before	 1	 2149.jpg	 58	 0	 111.031580	 113.031839	
MRI_faces_101	 1	 1	 before	 1	 2089.jpg	 3	 0	 116.026508	 118.026548	
MRI_faces_101	 1	 1	 before	 1	 1183.jpg	 55	 1	 119.026521	 121.026519	
MRI_faces_101	 1	 1	 before	 1	 2041.jpg	 12	 0	 122.026552	 124.026620	
MRI_faces_101	 1	 1	 before	 1	 2110.jpg	 52	 0	 125.026583	 127.026645	
MRI_faces_101	 1	 1	 before	 1	 1210.jpg	 45	 1	 130.026722	 132.026670	
MRI_faces_101	 1	 1	 before	 1	 2248.jpg	 20	 0	 135.026781	 137.026756	
MRI_faces_101	 1	 1	 before	 1	 2212.jpg	 15	 0	 139.026804	 141.026837	
MRI_faces_101	 1	 1	 before	 1	 2006.jpg	 14	 0	 145.026890	 147.026860	
MRI_faces_101	 1	 1	 before	 1	 1255.jpg	 48	 1	 148.026916	 150.026877	
MRI_faces_101	 1	 1	 before	 1	 2063.jpg	 21	 0	 152.026959	 154.027051	
MRI_faces_101	 1	 1	 before	 1	 1060.jpg	 57	 1	 157.027030	 159.026965	
MRI_faces_101	 1	 1	 before	 1	 2094.jpg	 18	 0	 161.027097	 163.027032	
