"subjectID","scanner","order","block","run","trial","onsettime","ImageLeft","ImageRight","bidIndexLeft","bidIndexRight","IsleftGo","Response","PairType","Outcome","RT","bidLeft","bidRight","FixationTime","PairType2"
"MRI_faces_102",1,2,3,1,1,2.027263,"1130.jpg","1052.jpg",44,49,0,"y",2,1,1209.53,0.35,0.28,3.731741,"Low_Value"
"MRI_faces_102",1,2,3,1,2,6.02808,"1052.jpg","1150.jpg",49,53,1,"y",2,0,1164.74,0.28,0.22,7.680785,"Low_Value"
"MRI_faces_102",1,2,3,1,3,13.0292,"1216.jpg","2212.jpg",16,10,1,"y",1,0,836.64,0.68,0.75,14.36423,"High_Value"
"MRI_faces_102",1,2,3,1,4,16.02985,"2089.jpg","2181.jpg",15,9,0,"y",1,1,967.99,0.68,0.76,17.49762,"High_Value"
"MRI_faces_102",1,2,3,1,5,21.01405,"1173.jpg","1150.jpg",54,53,1,"y",2,0,944.77,0.21,0.22,22.46445,"Low_Value"
"MRI_faces_102",1,2,3,1,6,31.01584,"1216.jpg","1191.jpg",16,18,1,"b",1,1,861,0.68,0.66,32.38282,"High_Value"
"MRI_faces_102",1,2,3,1,7,34.01855,"1192.jpg","2149.jpg",47,46,0,"y",2,1,900.27,0.29,0.29,35.41665,"Low_Value"
"MRI_faces_102",1,2,3,1,8,37.01682,"2010.jpg","1035.jpg",8,7,1,"b",1,1,740,0.77,0.79,38.2671,"High_Value"
"MRI_faces_102",1,2,3,1,9,46.01829,"2015.jpg","1191.jpg",14,18,1,"b",1,1,704.53,0.7,0.66,47.23139,"High_Value"
"MRI_faces_102",1,2,3,1,10,49.01889,"1191.jpg","2010.jpg",18,8,0,"y",1,1,732.95,0.66,0.77,50.25263,"High_Value"
"MRI_faces_102",1,2,3,1,11,59.02063,"1130.jpg","2149.jpg",44,46,0,"b",2,0,1133.2,0.35,0.29,60.65438,"Low_Value"
"MRI_faces_102",1,2,3,1,12,64.02159,"1035.jpg","1031.jpg",7,17,0,"b",1,0,1146.24,0.79,0.67,65.672,"High_Value"
"MRI_faces_102",1,2,3,1,13,69.02244,"1013.jpg","1127.jpg",45,51,0,"b",2,0,1027.38,0.29,0.24,70.55616,"Low_Value"
"MRI_faces_102",1,2,3,1,14,77.02378,"2118.jpg","2110.jpg",5,56,1,"b",4,1,807.04,0.85,0.16,78.33189,"Sanity"
"MRI_faces_102",1,2,3,1,15,84.02507,"2153.jpg","2181.jpg",12,9,0,"y",1,1,994.79,0.72,0.76,85.51534,"High_Value"
"MRI_faces_102",1,2,3,1,16,88.02573,"2110.jpg","1114.jpg",56,6,0,"b",4,0,1165.1,0.16,0.82,89.6928,"Sanity"
"MRI_faces_102",1,2,3,1,17,91.02632,"1027.jpg","2045.jpg",48,50,1,"y",2,0,883.52,0.28,0.24,92.40993,"Low_Value"
"MRI_faces_102",1,2,3,1,18,96.0271,"2010.jpg","2153.jpg",8,12,1,"b",1,1,1177.72,0.77,0.72,97.69878,"High_Value"
"MRI_faces_102",1,2,3,1,19,99.02765,"1060.jpg","1027.jpg",52,48,0,"b",2,0,1177.15,0.24,0.28,100.6988,"Low_Value"
"MRI_faces_102",1,2,3,1,20,107.029,"2010.jpg","2248.jpg",8,13,1,"b",1,1,1040.81,0.77,0.72,108.5657,"High_Value"
"MRI_faces_102",1,2,3,1,21,113.0156,"2181.jpg","1191.jpg",9,18,1,"b",1,1,692.24,0.76,0.66,114.2158,"High_Value"
"MRI_faces_102",1,2,3,1,22,118.0156,"1150.jpg","1027.jpg",53,48,0,"y",2,1,1265.2,0.22,0.28,119.7824,"Low_Value"
"MRI_faces_102",1,2,3,1,23,123.0157,"1173.jpg","1192.jpg",54,47,1,"y",2,0,975.11,0.21,0.29,124.4992,"Low_Value"
"MRI_faces_102",1,2,3,1,24,126.0158,"1216.jpg","1035.jpg",16,7,1,"b",1,1,1211.06,0.68,0.79,127.7327,"High_Value"
"MRI_faces_102",1,2,3,1,25,140.0188,"1262.jpg","1191.jpg",11,18,1,"y",1,0,871.01,0.73,0.66,141.3994,"High_Value"
"MRI_faces_102",1,2,3,1,26,143.0187,"2045.jpg","1127.jpg",50,51,0,"y",2,1,978.09,0.24,0.24,144.5024,"Low_Value"
