"subjectID","scanner","order","block","run","trial","onsettime","ImageLeft","ImageRight","bidIndexLeft","bidIndexRight","IsleftGo","Response","PairType","Outcome","RT","bidLeft","bidRight","FixationTime","PairType2"
"MRI_faces_102",1,2,1,1,17,90.01397,"2181.jpg","2153.jpg",9,12,1,"b",1,1,1330.28,0.76,0.72,91.84746,"High_Value"
"MRI_faces_102",1,2,1,1,18,93.01394,"1019.jpg","2045.jpg",43,50,1,"y",2,0,948.32,0.35,0.24,94.46414,"Low_Value"
"MRI_faces_102",1,2,1,1,19,97.01409,"2089.jpg","1216.jpg",15,16,0,"y",1,1,1087.16,0.68,0.68,98.61135,"High_Value"
"MRI_faces_102",1,2,1,1,20,110.0142,"2015.jpg","2248.jpg",14,13,1,"y",1,0,1115.02,0.7,0.72,111.631,"High_Value"
"MRI_faces_102",1,2,1,1,21,114.0144,"1035.jpg","2015.jpg",7,14,0,"b",1,0,1471.91,0.79,0.7,115.9809,"High_Value"
"MRI_faces_102",1,2,1,1,22,117.0143,"1127.jpg","2045.jpg",51,50,1,"y",2,0,786.99,0.24,0.24,118.2979,"Low_Value"
"MRI_faces_102",1,2,1,1,23,122.0151,"1019.jpg","1060.jpg",43,52,1,"y",2,0,832.13,0.35,0.24,123.3488,"Low_Value"
"MRI_faces_102",1,2,1,1,24,125.0156,"2153.jpg","1262.jpg",12,11,0,"b",1,0,815.62,0.72,0.73,126.3327,"High_Value"
"MRI_faces_102",1,2,1,1,25,129.0164,"1150.jpg","1027.jpg",53,48,0,"y",2,1,770.84,0.22,0.28,130.2833,"Low_Value"
"MRI_faces_102",1,2,1,1,26,135.0174,"2010.jpg","1035.jpg",8,7,1,"b",1,1,1090.86,0.77,0.79,136.6147,"High_Value"
"MRI_faces_102",1,2,1,1,27,138.0178,"1052.jpg","1192.jpg",49,47,1,"b",2,1,1187.47,0.28,0.29,139.7018,"Low_Value"
"MRI_faces_102",1,2,1,1,28,142.0187,"1262.jpg","2212.jpg",11,10,1,"y",1,0,775.59,0.73,0.75,143.2981,"High_Value"
"MRI_faces_102",1,2,1,1,29,147.0194,"1013.jpg","1127.jpg",45,51,0,"y",2,1,1047.79,0.29,0.24,148.5699,"Low_Value"
"MRI_faces_102",1,2,1,1,30,151.0202,"2149.jpg","2045.jpg",46,50,1,"y",2,0,934.03,0.29,0.24,152.4539,"Low_Value"
"MRI_faces_102",1,2,1,1,31,163.0222,"1191.jpg","1262.jpg",18,11,0,"y",1,1,1066,0.66,0.73,164.5893,"High_Value"
"MRI_faces_102",1,2,1,1,32,169.0233,"1052.jpg","1130.jpg",49,44,1,"y",2,0,1015.92,0.28,0.35,170.5403,"Low_Value"
"MRI_faces_102",1,2,1,1,33,172.0239,"2089.jpg","2181.jpg",15,9,0,"b",1,0,1291.36,0.68,0.76,173.8151,"High_Value"
"MRI_faces_102",1,2,1,1,34,176.0245,"2149.jpg","1130.jpg",46,44,1,"y",2,0,925.71,0.29,0.35,177.4486,"Low_Value"
"MRI_faces_102",1,2,1,1,35,179.0151,"1246.jpg","2118.jpg",55,5,0,"y",4,1,914.12,0.21,0.85,180.4319,"Sanity"
"MRI_faces_102",1,2,1,1,36,182.0255,"1150.jpg","1052.jpg",53,49,0,"y",2,1,1037.74,0.22,0.28,183.5593,"Low_Value"
"MRI_faces_102",1,2,1,1,37,185.0151,"1031.jpg","2089.jpg",17,15,1,"y",1,0,1214.12,0.67,0.68,186.732,"High_Value"
"MRI_faces_102",1,2,1,1,38,188.0266,"1013.jpg","2149.jpg",45,46,0,"y",2,1,853.7,0.29,0.29,189.3769,"Low_Value"
"MRI_faces_102",1,2,1,2,1,2.014913,"2212.jpg","1216.jpg",10,16,0,"y",1,1,974.58,0.75,0.68,3.490558,"High_Value"
"MRI_faces_102",1,2,1,2,2,6.022732,"1127.jpg","1150.jpg",51,53,1,"b",2,1,1173.77,0.24,0.22,7.689524,"Low_Value"
"MRI_faces_102",1,2,1,2,3,9.016166,"2181.jpg","1035.jpg",9,7,1,"b",1,1,789.34,0.76,0.79,10.30623,"High_Value"
"MRI_faces_102",1,2,1,2,4,14.02284,"1019.jpg","1130.jpg",43,44,1,"y",2,0,926.65,0.35,0.35,15.43965,"Low_Value"
"MRI_faces_102",1,2,1,2,5,17.01755,"1027.jpg","2045.jpg",48,50,1,"y",2,0,875.93,0.28,0.24,18.38978,"Low_Value"
"MRI_faces_102",1,2,1,2,6,20.01797,"2153.jpg","2010.jpg",12,8,0,"b",1,0,697.53,0.72,0.77,21.20641,"High_Value"
"MRI_faces_102",1,2,1,2,7,34.02315,"1192.jpg","1173.jpg",47,54,0,"y",2,1,876.36,0.29,0.21,35.39003,"Low_Value"
"MRI_faces_102",1,2,1,2,8,38.02321,"1216.jpg","1191.jpg",16,18,1,"b",1,1,1040.3,0.68,0.66,39.55669,"High_Value"
"MRI_faces_102",1,2,1,2,9,42.02324,"2118.jpg","2110.jpg",5,56,1,"b",4,1,1083.24,0.85,0.16,43.59015,"Sanity"
"MRI_faces_102",1,2,1,2,10,45.00666,"2149.jpg","1060.jpg",46,52,1,"y",2,0,930.83,0.29,0.24,46.44018,"Low_Value"
"MRI_faces_102",1,2,1,2,11,48.00667,"1114.jpg","2110.jpg",6,56,1,"b",4,1,814.84,0.82,0.16,49.32356,"Sanity"
"MRI_faces_102",1,2,1,2,12,53.00723,"1027.jpg","1060.jpg",48,52,1,"b",2,1,1375.3,0.28,0.24,54.89102,"Low_Value"
