subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	ixationTime	onset	duration
MRI_faces_131	1	1	1	1	1	2.027161	1114.jpg	1202.jpg	18	11	1	b	1	1	1070.28	0.67	0.72	3.600956	2.027161	1.07028
MRI_faces_131	1	1	1	1	2	6.02716	1146.jpg	1013.jpg	48	44	0	b	2	0	1096.24	0.31	0.33	7.617306	6.02716	1.09624
MRI_faces_131	1	1	1	1	3	9.027305	1210.jpg	1114.jpg	14	18	0	y	1	1	1165.12	0.69	0.67	10.69411	9.027305	1.16512
MRI_faces_131	1	1	1	1	4	14.02737	1202.jpg	2209.jpg	11	15	0	b	1	0	1009.04	0.72	0.68	15.53534	14.02737	1.00904
MRI_faces_131	1	1	1	1	5	17.02743	2058.jpg	2153.jpg	16	7	0	y	1	1	1144.98	0.67	0.81	18.6693	17.02743	1.14498
MRI_faces_131	1	1	1	1	6	20.02746	1019.jpg	2045.jpg	43	52	0	y	2	1	1284.95	0.33	0.27	21.81085	20.02746	1.28495
MRI_faces_131	1	1	1	1	7	34.02768	2153.jpg	1210.jpg	7	14	1	b	1	1	966.77	0.81	0.69	35.4945	34.02768	0.96677
MRI_faces_131	1	1	1	1	8	38.02767	2063.jpg	2089.jpg	17	12	0	y	1	1	1114.73	0.67	0.7	39.64449	38.02767	1.11473
MRI_faces_131	1	1	1	1	9	42.02779	2006.jpg	2058.jpg	10	16	1	b	1	1	1091.61	0.73	0.67	43.61133	42.02779	1.09161
MRI_faces_131	1	1	1	1	10	45.02775	1035.jpg	2053.jpg	46	45	0	y	2	1	1198.64	0.31	0.32	46.72799	45.02775	1.19864
MRI_faces_131	1	1	1	1	11	48.02784	1146.jpg	1052.jpg	48	47	0	y	2	1	1302.57	0.31	0.31	49.82814	48.02784	1.30257
MRI_faces_131	1	1	1	1	12	53.02797	1013.jpg	1035.jpg	44	46	1	x	2	999	999000	0.33	0.31	55.0281	53.02797	999
MRI_faces_131	1	1	1	1	13	56.02794	2063.jpg	2153.jpg	17	7	0	y	1	1	832.48	0.67	0.81	57.36153	56.02794	0.83248
MRI_faces_131	1	1	1	1	14	66.02815	1216.jpg	2053.jpg	51	45	0	b	2	0	1036.27	0.28	0.32	67.56159	66.02815	1.03627
MRI_faces_131	1	1	1	1	15	72.02847	1114.jpg	2010.jpg	18	9	1	b	1	1	869.94	0.67	0.78	73.39562	72.02847	0.86994
MRI_faces_131	1	1	1	1	16	75.02908	1017.jpg	2053.jpg	49	45	0	b	2	0	1013.31	0.3	0.32	76.52954	75.02908	1.01331
MRI_faces_131	1	1	1	1	17	79.02974	1146.jpg	2045.jpg	48	52	0	y	2	1	883.67	0.31	0.27	80.41344	79.02974	0.88367
MRI_faces_131	1	1	1	1	18	84.02836	2212.jpg	2194.jpg	5	56	1	b	4	1	964.06	0.86	0.2	85.48099	84.02836	0.96406
MRI_faces_131	1	1	1	1	19	91.02853	2209.jpg	2010.jpg	15	9	1	y	1	0	846.87	0.68	0.78	92.36564	91.02853	0.84687
MRI_faces_131	1	1	1	1	20	96.0286	2045.jpg	1017.jpg	52	49	1	b	2	1	975.8	0.27	0.3	97.49979	96.0286	0.9758
MRI_faces_131	1	1	1	1	21	99.02856	1013.jpg	1019.jpg	44	43	1	b	2	1	1037.84	0.33	0.33	100.567	99.02856	1.03784
MRI_faces_131	1	1	1	1	22	105.0287	2112.jpg	2010.jpg	13	9	1	b	1	1	967.71	0.69	0.78	106.4955	105.0287	0.96771
MRI_faces_131	1	1	1	1	23	109.0287	2094.jpg	2110.jpg	6	55	1	b	4	1	943.67	0.85	0.22	110.4687	109.0287	0.94367
MRI_faces_131	1	1	1	1	24	121.0288	1052.jpg	1017.jpg	47	49	1	b	2	1	860.57	0.31	0.3	122.3874	121.0288	0.86057
MRI_faces_131	1	1	1	1	25	124.0291	1019.jpg	1080.jpg	43	50	0	b	2	0	941.36	0.33	0.29	125.4624	124.0291	0.94136
MRI_faces_131	1	1	1	1	26	127.029	1150.jpg	1183.jpg	54	53	0	b	2	0	948.46	0.24	0.26	128.4718	127.029	0.94846
