subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	itemNameIndex	bidValue	onset	duration
MRI_faces_144	2	15	1145.jpg	2.426951	24	999000	240	999000	999	3.44676	750	750	45	16	0.32	2.426951	1
MRI_faces_144	2	15	2006.jpg	7.412619	11	959.7713	110	751.79	98	8.429267	766.67	750	8	31	0.8	7.412619	1
MRI_faces_144	2	15	1204.jpg	9.412584	24	999000	240	999000	999	10.42943	766.67	750	44	24	0.34	9.412584	1
MRI_faces_144	2	15	1192.jpg	12.41266	24	999000	240	999000	999	13.42929	766.67	750	57	22	0.14	12.41266	1
MRI_faces_144	2	15	1183.jpg	15.41277	24	999000	240	999000	999	16.42937	766.67	750	52	20	0.23	15.41277	1
MRI_faces_144	2	15	2125.jpg	22.41359	11	946.8104	110	766.9721	98	23.43041	783.33	750	11	47	0.77	22.41359	1
MRI_faces_144	2	15	1246.jpg	24.41399	24	999000	240	999000	999	25.43081	783.33	750	42	28	0.35	24.41399	1
MRI_faces_144	2	15	2024.jpg	28.41469	11	1096.709	1100	783.6108	98	29.43147	733.33	750	14	34	0.73	28.41469	1
MRI_faces_144	2	15	2229.jpg	30.415	11	965.3991	110	733.6169	98	31.43191	750	750	9	58	0.8	30.415	1
MRI_faces_144	2	15	2010.jpg	35.41593	12	999000	120	999000	999	36.43279	750	750	20	32	0.64	35.41593	1
MRI_faces_144	2	15	1150.jpg	39.41666	22	1084.761	2200	751.7582	98	40.43345	750	700	48	18	0.28	39.41666	1
MRI_faces_144	2	15	1019.jpg	41.41701	22	898.4023	220	700.2785	98	42.43381	750	716.67	43	4	0.35	41.41701	1
MRI_faces_144	2	15	2041.jpg	44.41751	11	969.892	110	750.2483	98	45.43439	766.67	716.67	17	36	0.67	44.41751	1
MRI_faces_144	2	15	1127.jpg	47.41807	22	1279.331	2200	716.9584	98	48.43495	766.67	666.67	54	14	0.17	47.41807	1
MRI_faces_144	2	15	2212.jpg	51.41877	12	999000	120	999000	999	52.43564	766.67	666.67	6	56	0.81	51.41877	1
MRI_faces_144	2	15	2089.jpg	55.41948	12	999000	120	999000	999	56.43627	766.67	666.67	21	42	0.63	55.41948	1
MRI_faces_144	2	15	2063.jpg	59.42016	12	999000	120	999000	999	60.43706	766.67	666.67	12	41	0.77	59.42016	1
MRI_faces_144	2	15	1035.jpg	62.42069	22	883.71	220	666.9371	98	63.43769	766.67	683.33	46	7	0.31	62.42069	1
MRI_faces_144	2	15	2015.jpg	65.41353	12	999000	120	999000	999	66.43011	766.67	683.33	5	33	0.86	65.41353	1
MRI_faces_144	2	15	2053.jpg	68.41353	11	945.9056	110	766.9462	98	69.43019	783.33	683.33	16	39	0.69	68.41353	1
MRI_faces_144	2	15	2164.jpg	70.41362	24	999000	240	999000	999	71.43026	783.33	683.33	41	52	0.35	70.41362	1
MRI_faces_144	2	15	2045.jpg	73.41367	12	999000	120	999000	999	74.43022	783.33	683.33	13	38	0.73	73.41367	1
MRI_faces_144	2	15	1216.jpg	75.4139	24	999000	240	999000	999	76.43035	783.33	683.33	47	26	0.3	75.4139	1
MRI_faces_144	2	15	2128.jpg	77.4137	12	999000	120	999000	999	78.43038	783.33	683.33	18	48	0.65	77.4137	1
MRI_faces_144	2	15	1255.jpg	79.41375	24	999000	240	999000	999	80.43039	783.33	683.33	39	29	0.39	79.41375	1
MRI_faces_144	2	15	1146.jpg	82.41377	24	999000	240	999000	999	83.4304	783.33	683.33	53	17	0.19	82.41377	1
MRI_faces_144	2	15	2039.jpg	86.41384	12	999000	120	999000	999	87.43048	783.33	683.33	4	35	0.86	86.41384	1
MRI_faces_144	2	15	2218.jpg	88.4138	12	999000	120	999000	999	89.43057	783.33	683.33	19	57	0.64	88.4138	1
MRI_faces_144	2	15	1191.jpg	90.41388	24	999000	240	999000	999	91.43067	783.33	683.33	50	21	0.25	90.41388	1
MRI_faces_144	2	15	2112.jpg	94.41396	12	999000	120	999000	999	95.4306	783.33	683.33	3	45	0.88	94.41396	1
MRI_faces_144	2	15	2153.jpg	96.41403	12	999000	120	999000	999	97.43061	783.33	683.33	10	50	0.79	96.41403	1
MRI_faces_144	2	15	1013.jpg	98.41404	24	999000	240	999000	999	99.43071	783.33	683.33	55	2	0.16	98.41404	1
MRI_faces_144	2	15	2058.jpg	102.4141	12	999000	120	999000	999	103.4308	783.33	683.33	15	40	0.7	102.4141	1
MRI_faces_144	2	15	1080.jpg	106.4141	24	999000	240	999000	999	107.4308	783.33	683.33	58	12	0.13	106.4141	1
MRI_faces_144	2	15	1007.jpg	108.4141	24	999000	240	999000	999	109.4309	783.33	683.33	40	1	0.38	108.4141	1
MRI_faces_144	2	15	2194.jpg	110.4143	12	999000	120	999000	999	111.4309	783.33	683.33	7	54	0.81	110.4143	1
MRI_faces_144	2	15	1060.jpg	112.4143	22	1082.142	2200	683.616	98	113.431	783.33	633.33	49	10	0.27	112.4143	1
MRI_faces_144	2	15	1114.jpg	114.4143	22	848.0991	220	633.5951	98	115.431	783.33	650	51	13	0.23	114.4143	1
MRI_faces_144	2	15	1073.jpg	120.4144	24	999000	240	999000	999	121.431	783.33	650	56	11	0.15	120.4144	1
MRI_faces_144	2	15	2043.jpg	122.4145	12	999000	120	999000	999	123.4316	783.33	650	22	37	0.6	122.4145	1
MRI_faces_144	2	16	2058.jpg	124.2316	12	999000	120	999000	999	125.2485	783.33	650	15	40	0.7	124.2316	1
MRI_faces_144	2	16	1204.jpg	126.2152	24	999000	240	999000	999	127.2321	783.33	650	44	24	0.34	126.2152	1
MRI_faces_144	2	16	1080.jpg	129.2158	24	999000	240	999000	999	130.2326	783.33	650	58	12	0.13	129.2158	1
MRI_faces_144	2	16	2125.jpg	132.2163	11	1006.088	1100	783.6671	98	133.2332	733.33	650	11	47	0.77	132.2163	1
MRI_faces_144	2	16	1073.jpg	134.2167	24	999000	240	999000	999	135.2335	733.33	650	56	11	0.15	134.2167	1
MRI_faces_144	2	16	1145.jpg	138.2174	24	999000	240	999000	999	139.2343	733.33	650	45	16	0.32	138.2174	1
MRI_faces_144	2	16	1255.jpg	143.2182	24	999000	240	999000	999	144.2351	733.33	650	39	29	0.39	143.2182	1
MRI_faces_144	2	16	1246.jpg	145.2186	24	999000	240	999000	999	146.2354	733.33	650	42	28	0.35	145.2186	1
MRI_faces_144	2	16	2089.jpg	148.2192	12	999000	120	999000	999	149.236	733.33	650	21	42	0.63	148.2192	1
MRI_faces_144	2	16	2045.jpg	150.2195	12	999000	120	999000	999	151.2363	733.33	650	13	38	0.73	150.2195	1
MRI_faces_144	2	16	2010.jpg	156.2206	12	999000	120	999000	999	157.2373	733.33	650	20	32	0.64	156.2206	1
