subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	itemNameIndex	bidValue	onset	duration
MRI_faces_110	2	1	2053.jpg	2.396989	12	999000	120	999000	999	3.415908	750	750	20	39	0.58	2.396989	1
MRI_faces_110	2	1	1183.jpg	7.393189	11	1096.163	1100	753.793	98	8.409875	700	750	16	20	0.61	7.393189	1
MRI_faces_110	2	1	2149.jpg	9.393572	24	999000	240	999000	999	10.40997	700	750	53	49	0.25	9.393572	1
MRI_faces_110	2	1	1031.jpg	12.39334	11	960.0154	110	700.2822	98	13.41001	716.67	750	9	6	0.75	12.39334	1
MRI_faces_110	2	1	1114.jpg	15.39344	12	999000	120	999000	999	16.40997	716.67	750	6	13	0.81	15.39344	1
MRI_faces_110	2	1	2153.jpg	22.39349	22	989.863	220	752.6862	98	23.41018	716.67	766.67	54	50	0.22	22.39349	1
MRI_faces_110	2	1	2015.jpg	24.39358	12	999000	120	999000	999	25.41016	716.67	766.67	21	33	0.58	24.39358	1
MRI_faces_110	2	1	1019.jpg	28.39366	24	999000	240	999000	999	29.41027	716.67	766.67	45	4	0.36	28.39366	1
MRI_faces_110	2	1	2112.jpg	30.39358	12	999000	120	999000	999	31.4103	716.67	766.67	3	45	0.82	30.39358	1
MRI_faces_110	2	1	2209.jpg	35.39369	11	928.6552	110	716.9444	98	36.41033	733.33	766.67	8	55	0.77	35.39369	1
MRI_faces_110	2	1	1130.jpg	39.39381	24	999000	240	999000	999	40.41041	733.33	766.67	39	15	0.4	39.39381	1
MRI_faces_110	2	1	1226.jpg	41.39384	22	917.521	220	766.9746	98	42.41039	733.33	783.33	49	27	0.34	41.39384	1
MRI_faces_110	2	1	2024.jpg	44.39385	24	999000	240	999000	999	45.41071	733.33	783.33	40	34	0.39	44.39385	1
MRI_faces_110	2	1	1017.jpg	47.39387	11	878.469	110	733.6401	98	48.41052	750	783.33	11	3	0.74	47.39387	1
MRI_faces_110	2	1	2045.jpg	51.39387	22	957.4777	220	783.6019	98	52.4106	750	800	46	38	0.36	51.39387	1
MRI_faces_110	2	1	2063.jpg	55.39395	11	936.4062	110	750.297	98	56.41059	766.67	800	17	41	0.61	55.39395	1
MRI_faces_110	2	1	2218.jpg	59.39402	11	966.3372	110	766.9493	98	60.41075	783.33	800	14	57	0.72	59.39402	1
MRI_faces_110	2	1	1173.jpg	62.39408	24	999000	240	999000	999	63.41082	783.33	800	47	19	0.36	62.39408	1
MRI_faces_110	2	1	2155.jpg	65.39413	24	999000	240	999000	999	66.41077	783.33	800	57	51	0.16	65.39413	1
MRI_faces_110	2	1	1204.jpg	68.39415	24	999000	240	999000	999	69.41081	783.33	800	50	24	0.31	68.39415	1
MRI_faces_110	2	1	1052.jpg	70.39426	22	1078.087	2200	800.2853	98	71.41082	783.33	750	43	9	0.37	70.39426	1
MRI_faces_110	2	1	2128.jpg	73.39426	24	999000	240	999000	999	74.41088	783.33	750	52	48	0.28	73.39426	1
MRI_faces_110	2	1	2039.jpg	75.39436	24	999000	240	999000	999	76.41103	783.33	750	42	35	0.38	75.39436	1
MRI_faces_110	2	1	2248.jpg	77.39455	12	999000	120	999000	999	78.41096	783.33	750	4	60	0.82	77.39455	1
MRI_faces_110	2	1	1146.jpg	79.39435	22	922.0053	220	750.2858	98	80.41096	783.33	766.67	48	17	0.35	79.39435	1
MRI_faces_110	2	1	1145.jpg	82.39443	12	999000	120	999000	999	83.41105	783.33	766.67	7	16	0.79	82.39443	1
MRI_faces_110	2	1	2010.jpg	86.39441	12	999000	120	999000	999	87.41114	783.33	766.67	5	32	0.81	86.39441	1
MRI_faces_110	2	1	2006.jpg	88.39476	24	999000	240	999000	999	89.41151	783.33	766.67	41	31	0.39	88.39476	1
MRI_faces_110	2	1	2118.jpg	90.39508	12	999000	120	999000	999	91.41191	783.33	766.67	19	46	0.58	90.39508	1
MRI_faces_110	2	1	2110.jpg	94.39581	24	999000	240	999000	999	95.41255	783.33	766.67	58	44	0.09	94.39581	1
MRI_faces_110	2	1	2041.jpg	96.39619	22	978.1853	220	766.928	98	97.41308	783.33	783.33	51	36	0.31	96.39619	1
MRI_faces_110	2	1	1073.jpg	98.39643	24	999000	240	999000	999	99.41329	783.33	783.33	56	11	0.18	98.39643	1
MRI_faces_110	2	1	2181.jpg	102.3972	12	999000	120	999000	999	103.414	783.33	783.33	15	53	0.72	102.3972	1
MRI_faces_110	2	1	2240.jpg	106.3948	24	999000	240	999000	999	107.4114	783.33	783.33	44	59	0.36	106.3948	1
MRI_faces_110	2	1	1150.jpg	108.3947	24	999000	240	999000	999	109.4115	783.33	783.33	55	18	0.18	108.3947	1
MRI_faces_110	2	1	2125.jpg	110.3948	12	999000	120	999000	999	111.4115	783.33	783.33	18	47	0.61	110.3948	1
MRI_faces_110	2	1	1050.jpg	112.3949	12	999000	120	999000	999	113.4115	783.33	783.33	12	8	0.74	112.3949	1
MRI_faces_110	2	1	1060.jpg	114.3949	12	999000	120	999000	999	115.4116	783.33	783.33	13	10	0.73	114.3949	1
MRI_faces_110	2	1	2229.jpg	120.395	12	999000	120	999000	999	121.4117	783.33	783.33	22	58	0.57	120.395	1
MRI_faces_110	2	1	1035.jpg	122.395	12	999000	120	999000	999	123.4117	783.33	783.33	10	7	0.74	122.395	1
MRI_faces_110	2	2	2015.jpg	124.1843	12	999000	120	999000	999	125.2012	783.33	783.33	21	33	0.58	124.1843	1
MRI_faces_110	2	2	2053.jpg	128.1784	12	999000	120	999000	999	129.195	783.33	783.33	20	39	0.58	128.1784	1
MRI_faces_110	2	2	1035.jpg	130.1785	12	999000	120	999000	999	131.1951	783.33	783.33	10	7	0.74	130.1785	1
MRI_faces_110	2	2	1060.jpg	135.1785	12	999000	120	999000	999	136.1952	783.33	783.33	13	10	0.73	135.1785	1
