subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	ixationTime	onset	duration
MRI_faces_101	1	1	2	2	1	2.022303	2015.jpg	1031.jpg	16	10	0	y	1	1	1083.29	0.72	0.76	3.599352	2.022303	1.08329
MRI_faces_101	1	1	2	2	2	5.01494	2043.jpg	1216.jpg	11	13	0	y	1	1	825.64	0.74	0.74	6.339219	5.01494	0.82564
MRI_faces_101	1	1	2	2	3	8.022442	2053.jpg	2041.jpg	8	12	0	y	1	1	767.16	0.78	0.74	9.282508	8.022442	0.76716
MRI_faces_101	1	1	2	2	4	13.01628	2043.jpg	2153.jpg	11	7	0	y	1	1	799.31	0.74	0.8	14.3165	13.01628	0.79931
MRI_faces_101	1	1	2	2	5	18.0226	1052.jpg	1262.jpg	43	50	0	y	2	1	971.02	0.31	0.26	19.48945	18.0226	0.97102
MRI_faces_101	1	1	2	2	6	25.0185	1204.jpg	1192.jpg	51	47	0	y	2	1	865.09	0.26	0.28	26.38553	25.0185	0.86509
MRI_faces_101	1	1	2	2	7	29.0191	1210.jpg	2194.jpg	45	54	1	b	2	1	781.48	0.3	0.19	30.30278	29.0191	0.78148
MRI_faces_101	1	1	2	2	8	32.02249	1146.jpg	2110.jpg	49	52	0	y	2	1	779.1	0.28	0.25	33.28958	32.02249	0.7791
MRI_faces_101	1	1	2	2	9	39.02087	1255.jpg	1192.jpg	48	47	0	y	2	1	775.72	0.28	0.28	40.28987	39.02087	0.77572
MRI_faces_101	1	1	2	2	10	43.0216	2155.jpg	1204.jpg	53	51	1	b	2	1	654.99	0.22	0.26	44.17322	43.0216	0.65499
MRI_faces_101	1	1	2	2	11	46.02301	2212.jpg	2015.jpg	15	16	1	b	1	1	697.59	0.73	0.72	47.20648	46.02301	0.69759
MRI_faces_101	1	1	2	2	12	50.00773	2094.jpg	2043.jpg	18	11	1	b	1	1	633.87	0.68	0.74	51.13956	50.00773	0.63387
MRI_faces_101	1	1	2	2	13	54.00726	2094.jpg	1035.jpg	18	9	1	b	1	1	660.33	0.68	0.76	55.17391	54.00726	0.66033
MRI_faces_101	1	1	2	2	14	59.00775	1204.jpg	1262.jpg	51	50	0	y	2	1	882.84	0.26	0.26	60.39152	59.00775	0.88284
MRI_faces_101	1	1	2	2	15	63.00844	1262.jpg	1255.jpg	50	48	1	b	2	1	858.15	0.26	0.28	64.37552	63.00844	0.85815
MRI_faces_101	1	1	2	2	16	67.00919	2155.jpg	2194.jpg	53	54	1	b	2	1	664.4	0.22	0.19	68.17612	67.00919	0.6644
