subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	ixationTime	onset	duration
MRI_faces_101	1	1	1	1	1	2.013874	1226.jpg	1210.jpg	46	45	0	y	2	1	839.05	0.28	0.3	3.358979	2.013874	0.83905
MRI_faces_101	1	1	1	1	2	6.013882	2045.jpg	1150.jpg	6	56	1	b	4	1	744.02	0.83	0.17	7.264014	6.013882	0.74402
MRI_faces_101	1	1	1	1	3	13.01402	1183.jpg	2045.jpg	55	6	0	y	4	1	610.9	0.18	0.83	14.1308	13.01402	0.6109
MRI_faces_101	1	1	1	1	4	16.01401	2041.jpg	2006.jpg	12	14	1	b	1	1	852.92	0.74	0.73	17.36415	16.01401	0.85292
MRI_faces_101	1	1	1	1	5	21.01408	2094.jpg	2053.jpg	18	8	1	b	1	1	799.86	0.68	0.78	22.31427	21.01408	0.79986
MRI_faces_101	1	1	1	1	6	31.01426	1146.jpg	1262.jpg	49	50	0	b	2	0	1197.68	0.28	0.26	32.71447	31.01426	1.19768
MRI_faces_101	1	1	1	1	7	34.01435	2094.jpg	1035.jpg	18	9	1	b	1	1	729.56	0.68	0.76	35.24777	34.01435	0.72956
MRI_faces_101	1	1	1	1	8	37.01437	1035.jpg	2041.jpg	9	12	0	b	1	0	942.57	0.76	0.74	38.44763	37.01437	0.94257
MRI_faces_101	1	1	1	1	9	46.01763	1204.jpg	2155.jpg	51	53	0	y	2	1	899.29	0.26	0.22	47.41573	46.01763	0.89929
MRI_faces_101	1	1	1	1	10	49.01584	2110.jpg	1226.jpg	52	46	1	b	2	1	673.12	0.25	0.28	50.18294	49.01584	0.67312
MRI_faces_101	1	1	1	1	11	59.01763	2110.jpg	2194.jpg	52	54	1	b	2	1	1050.27	0.25	0.19	60.56801	59.01763	1.05027
MRI_faces_101	1	1	1	1	12	64.01846	1031.jpg	2053.jpg	10	8	1	b	1	1	938.48	0.76	0.78	65.45226	64.01846	0.93848
MRI_faces_101	1	1	1	1	13	69.01933	2053.jpg	1216.jpg	8	13	0	b	1	0	886.58	0.78	0.74	70.403	69.01933	0.88658
MRI_faces_101	1	1	1	1	14	77.02079	1127.jpg	1226.jpg	44	46	1	b	2	1	787.13	0.3	0.28	78.30442	77.02079	0.78713
MRI_faces_101	1	1	1	1	15	84.02193	2194.jpg	2155.jpg	54	53	0	y	2	1	708.99	0.19	0.22	85.22233	84.02193	0.70899
MRI_faces_101	1	1	1	1	16	88.02263	2153.jpg	1050.jpg	7	17	1	b	1	1	604.3	0.8	0.7	89.12299	88.02263	0.6043
MRI_faces_101	1	1	1	1	17	91.01505	2155.jpg	1255.jpg	53	48	1	b	2	1	926.88	0.22	0.28	92.44017	91.01505	0.92688
MRI_faces_101	1	1	1	1	18	96.01521	1192.jpg	1255.jpg	47	48	1	b	2	1	785.69	0.28	0.28	97.29864	96.01521	0.78569
MRI_faces_101	1	1	1	1	19	99.0152	1262.jpg	2194.jpg	50	54	1	y	2	0	878.77	0.26	0.19	100.3988	99.0152	0.87877
MRI_faces_101	1	1	1	1	20	107.0153	1127.jpg	1146.jpg	44	49	1	b	2	1	694.58	0.3	0.28	108.2155	107.0153	0.69458
MRI_faces_101	1	1	1	1	21	113.0153	2043.jpg	2153.jpg	11	7	0	y	1	1	766.57	0.74	0.8	114.2822	113.0153	0.76657
MRI_faces_101	1	1	1	1	22	118.0153	1035.jpg	2212.jpg	9	15	0	b	1	0	855.67	0.76	0.73	119.3657	118.0153	0.85567
