subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	ixationTime	onset	duration
MRI_faces_123	1	1	2	1	1	2.022152	1202.jpg	2058.jpg	5	56	1	y	4	0	606.38	0.84	0.18	3.133667	2.022152	0.60638
MRI_faces_123	1	1	2	1	2	6.022828	1255.jpg	2248.jpg	9	13	0	y	1	1	597.71	0.79	0.7	7.123195	6.022828	0.59771
MRI_faces_123	1	1	2	1	3	13.02404	2212.jpg	2118.jpg	16	18	0	b	1	0	720.47	0.67	0.66	14.24944	13.02404	0.72047
MRI_faces_123	1	1	2	1	4	16.03278	2110.jpg	2194.jpg	51	47	0	y	2	1	609.75	0.25	0.31	17.14161	16.03278	0.60975
MRI_faces_123	1	1	2	1	5	21.0255	1255.jpg	2181.jpg	9	7	0	y	1	1	693.07	0.79	0.8	22.21624	21.0255	0.69307
MRI_faces_123	1	1	2	1	6	31.02725	2118.jpg	1114.jpg	18	8	1	b	1	1	606.28	0.66	0.8	32.13317	31.02725	0.60628
MRI_faces_123	1	1	2	1	7	34.02786	1080.jpg	1013.jpg	48	44	0	y	2	1	636.63	0.29	0.32	35.16645	34.02786	0.63663
MRI_faces_123	1	1	2	1	8	37.02835	2010.jpg	2053.jpg	12	17	1	b	1	1	865.19	0.72	0.67	38.39535	37.02835	0.86519
MRI_faces_123	1	1	2	1	9	46.02985	2063.jpg	2010.jpg	14	12	0	y	1	1	623.71	0.7	0.72	47.14999	46.02985	0.62371
MRI_faces_123	1	1	2	1	10	49.03047	2010.jpg	1114.jpg	12	8	1	b	1	1	585.02	0.72	0.8	50.11663	49.03047	0.58502
MRI_faces_123	1	1	2	1	11	59.01671	2041.jpg	1192.jpg	52	54	1	b	2	1	760.81	0.24	0.2	60.28353	59.01671	0.76081
MRI_faces_123	1	1	2	1	12	64.01646	2153.jpg	2058.jpg	6	56	1	b	4	1	926.05	0.82	0.18	65.45021	64.01646	0.92605
MRI_faces_123	1	1	2	1	13	69.01698	2181.jpg	2053.jpg	7	17	1	y	1	0	652.59	0.8	0.67	70.18426	69.01698	0.65259
MRI_faces_123	1	1	2	1	14	77.01871	1191.jpg	1246.jpg	45	49	1	b	2	1	819.84	0.32	0.28	78.35234	77.01871	0.81984
MRI_faces_123	1	1	2	1	15	84.02049	2024.jpg	2041.jpg	43	52	0	y	2	1	597.07	0.36	0.24	85.12017	84.02049	0.59707
MRI_faces_123	1	1	2	1	16	88.02071	2110.jpg	1191.jpg	51	45	0	y	2	1	709.82	0.25	0.32	89.23758	88.02071	0.70982
MRI_faces_123	1	1	2	1	17	91.02106	1127.jpg	1246.jpg	50	49	1	b	2	1	717.47	0.27	0.28	92.23814	91.02106	0.71747
MRI_faces_123	1	1	2	1	18	96.02199	2181.jpg	1073.jpg	7	11	1	b	1	1	533.56	0.8	0.72	97.05558	96.02199	0.53356
MRI_faces_123	1	1	2	1	19	99.02248	1127.jpg	2218.jpg	50	46	1	y	2	0	531.03	0.27	0.31	100.0561	99.02248	0.53103
MRI_faces_123	1	1	2	1	20	107.0239	2024.jpg	1013.jpg	43	44	0	b	2	0	578.61	0.36	0.32	108.1076	107.0239	0.57861
MRI_faces_123	1	1	2	1	21	113.0249	1073.jpg	2010.jpg	11	12	0	y	1	1	577.65	0.72	0.72	114.1086	113.0249	0.57765
MRI_faces_123	1	1	2	1	22	118.0258	1191.jpg	2218.jpg	45	46	1	b	2	1	825.73	0.32	0.31	119.3509	118.0258	0.82573
MRI_faces_123	1	1	2	1	23	123.0268	1073.jpg	2125.jpg	11	15	0	y	1	1	716.73	0.72	0.69	124.2437	123.0268	0.71673
MRI_faces_123	1	1	2	1	24	126.0273	2218.jpg	2041.jpg	46	52	0	y	2	1	974.27	0.31	0.24	127.5011	126.0273	0.97427
MRI_faces_123	1	1	2	1	25	140.0296	2041.jpg	1080.jpg	52	48	1	b	2	1	641.9	0.24	0.29	141.1679	140.0296	0.6419
MRI_faces_123	1	1	2	1	26	143.0302	2155.jpg	1080.jpg	53	48	1	y	2	0	771.29	0.21	0.29	144.3013	143.0302	0.77129
MRI_faces_123	1	1	2	1	27	147.0309	2155.jpg	1246.jpg	53	49	1	b	2	1	999.6	0.21	0.28	148.5314	147.0309	0.9996
MRI_faces_123	1	1	2	1	28	151.0316	2089.jpg	2053.jpg	10	17	1	b	1	1	589.92	0.75	0.67	152.1181	151.0316	0.58992
