subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	itemNameIndex	bidValue	onset	duration
MRI_faces_120	2	13	1130.jpg	2.396915	11	970.8638	110	754.5284	98	3.414425	766.67	616.67	14	15	0.73	2.396915	1
MRI_faces_120	2	13	2149.jpg	5.392634	24	999000	240	999000	999	6.409287	766.67	616.67	58	49	0.12	5.392634	1
MRI_faces_120	2	13	1255.jpg	9.392693	12	999000	120	999000	999	10.40931	766.67	616.67	22	29	0.64	9.392693	1
MRI_faces_120	2	13	1027.jpg	12.3928	24	999000	240	999000	999	13.40939	766.67	616.67	47	5	0.3	12.3928	1
MRI_faces_120	2	13	2248.jpg	16.3928	12	999000	120	999000	999	17.40944	766.67	616.67	20	60	0.66	16.3928	1
MRI_faces_120	2	13	1210.jpg	19.3929	12	999000	120	999000	999	20.40958	766.67	616.67	13	25	0.73	19.3929	1
MRI_faces_120	2	13	2110.jpg	21.39293	22	792.8604	220	619.389	98	22.40953	766.67	633.34	49	44	0.28	21.39293	1
MRI_faces_120	2	13	2015.jpg	24.39297	24	999000	240	999000	999	25.40962	766.67	633.34	42	33	0.35	24.39297	1
MRI_faces_120	2	13	1183.jpg	27.39306	24	999000	240	999000	999	28.40972	766.67	633.34	50	20	0.26	27.39306	1
MRI_faces_120	2	13	2006.jpg	32.39305	12	999000	120	999000	999	33.40976	766.67	633.34	6	31	0.84	32.39305	1
MRI_faces_120	2	13	1050.jpg	34.39317	12	999000	120	999000	999	35.4098	766.67	633.34	7	8	0.82	34.39317	1
MRI_faces_120	2	13	1035.jpg	36.39315	12	999000	120	999000	999	37.40977	766.67	633.34	4	7	0.87	36.39315	1
MRI_faces_120	2	13	2058.jpg	40.39325	22	822.5563	220	633.6077	98	41.40995	766.67	650	43	40	0.34	40.39325	1
MRI_faces_120	2	13	2164.jpg	47.3934	24	999000	240	999000	999	48.40996	766.67	650	45	52	0.33	47.3934	1
MRI_faces_120	2	13	2240.jpg	49.39331	24	999000	240	999000	999	50.40994	766.67	650	53	59	0.2	49.39331	1
MRI_faces_120	2	13	1114.jpg	51.39334	12	999000	120	999000	999	52.40998	766.67	650	12	13	0.74	51.39334	1
MRI_faces_120	2	13	1204.jpg	53.39338	24	999000	240	999000	999	54.41002	766.67	650	41	24	0.38	53.39338	1
MRI_faces_120	2	13	1216.jpg	55.39343	11	1094.336	1100	770.2103	98	56.4102	716.67	650	11	26	0.75	55.39343	1
MRI_faces_120	2	13	2155.jpg	57.39349	24	999000	240	999000	999	58.41016	716.67	650	52	51	0.2	57.39349	1
MRI_faces_120	2	13	2039.jpg	60.39353	22	668.2638	220	650.2919	98	61.4101	716.67	666.67	51	35	0.22	60.39353	1
