subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	ixationTime	onset	duration
MRI_faces_114	1	2	2	2	1	2.01555	2212.jpg	2006.jpg	11	7	1	b	1	1	815.23	0.74	0.8	3.333636	2.01555	0.81523
MRI_faces_114	1	2	2	2	2	6.01632	2181.jpg	2153.jpg	10	8	0	y	1	1	1273.45	0.75	0.78	7.791137	6.01632	1.27345
MRI_faces_114	1	2	2	2	3	13.01748	1191.jpg	2240.jpg	45	54	0	b	2	0	780.29	0.35	0.25	14.29132	13.01748	0.78029
MRI_faces_114	1	2	2	2	4	16.01799	2248.jpg	2024.jpg	5	55	1	b	4	1	1188.8	0.82	0.21	17.70173	16.01799	1.1888
MRI_faces_114	1	2	2	2	5	21.01885	2089.jpg	1192.jpg	14	15	1	y	1	0	888.93	0.72	0.68	22.40806	21.01885	0.88893
MRI_faces_114	1	2	2	2	6	31.00801	1191.jpg	1183.jpg	45	46	0	b	2	0	809.76	0.35	0.33	32.32481	31.00801	0.80976
MRI_faces_114	1	2	2	2	7	34.00814	1146.jpg	2212.jpg	13	11	0	b	1	0	930.64	0.73	0.74	35.44161	34.00814	0.93064
MRI_faces_114	1	2	2	2	8	37.00807	2181.jpg	2212.jpg	10	11	0	y	1	1	1060.7	0.75	0.74	38.57487	37.00807	1.0607
MRI_faces_114	1	2	2	2	9	46.00825	2006.jpg	2153.jpg	7	8	0	x	1	999	999000	0.8	0.78	48.00852	46.00825	999
MRI_faces_114	1	2	2	2	10	49.0083	2053.jpg	2153.jpg	12	8	0	y	1	1	699.48	0.73	0.78	50.20837	49.0083	0.69948
MRI_faces_114	1	2	2	2	11	59.00888	1019.jpg	2181.jpg	9	10	1	b	1	1	913.88	0.76	0.75	60.4259	59.00888	0.91388
MRI_faces_114	1	2	2	2	12	64.00986	2112.jpg	1246.jpg	47	43	0	b	2	0	1135.92	0.32	0.37	65.64366	64.00986	1.13592
MRI_faces_114	1	2	2	2	13	69.01072	1216.jpg	2053.jpg	16	12	1	b	1	1	990.06	0.67	0.73	70.50875	69.01072	0.99006
MRI_faces_114	1	2	2	2	14	77.01209	2112.jpg	2043.jpg	47	49	0	b	2	0	875.72	0.32	0.3	78.39216	77.01209	0.87572
MRI_faces_114	1	2	2	2	15	84.01324	1210.jpg	2153.jpg	18	8	0	b	1	0	809.52	0.65	0.78	85.32553	84.01324	0.80952
MRI_faces_114	1	2	2	2	16	88.01394	2153.jpg	1146.jpg	8	13	1	y	1	0	1241.82	0.78	0.73	89.75902	88.01394	1.24182
MRI_faces_114	1	2	2	2	17	91.01451	1226.jpg	2240.jpg	44	54	0	y	2	1	1299.25	0.36	0.25	92.81491	91.01451	1.29925
MRI_faces_114	1	2	2	2	18	96.01546	2045.jpg	1204.jpg	51	50	1	x	2	999	999000	0.26	0.29	98.01581	96.01546	999
MRI_faces_114	1	2	2	2	19	99.01584	1246.jpg	1191.jpg	43	45	1	y	2	0	1097.92	0.37	0.35	100.6163	99.01584	1.09792
MRI_faces_114	1	2	2	2	20	107.0173	1246.jpg	1226.jpg	43	44	1	y	2	0	1068.46	0.37	0.36	108.5844	107.0173	1.06846
MRI_faces_114	1	2	2	2	21	113.0184	1192.jpg	2212.jpg	15	11	0	y	1	1	833.37	0.68	0.74	114.352	113.0184	0.83337
MRI_faces_114	1	2	2	2	22	118.0193	2128.jpg	1183.jpg	52	46	0	y	2	1	1056.51	0.26	0.33	119.576	118.0193	1.05651
MRI_faces_114	1	2	2	2	23	123.0093	1210.jpg	2089.jpg	18	14	0	b	1	0	893.5	0.65	0.72	124.4095	123.0093	0.8935
MRI_faces_114	1	2	2	2	24	126.0093	1019.jpg	1210.jpg	9	18	1	y	1	0	1116.48	0.76	0.65	127.6261	126.0093	1.11648
