subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	itemNameIndex	bidValue	onset	duration
MRI_faces_122	2	1	1216.jpg	2.244112	12	999000	120	999000	999	3.260233	750	750	18	26	0.65	2.244112	1
MRI_faces_122	2	1	1204.jpg	6.244261	24	999000	240	999000	999	7.261294	750	750	50	24	0.29	6.244261	1
MRI_faces_122	2	1	1191.jpg	8.244625	11	1181.841	1100	754.0965	98	9.261461	700	750	9	21	0.71	8.244625	1
MRI_faces_122	2	1	2053.jpg	13.24553	12	999000	120	999000	999	14.26234	700	750	10	39	0.7	13.24553	1
MRI_faces_122	2	1	1246.jpg	15.24589	24	999000	240	999000	999	16.26272	700	750	57	28	0.19	15.24589	1
MRI_faces_122	2	1	1127.jpg	17.24615	22	972.3024	220	755.2827	98	18.26303	700	766.67	48	14	0.33	17.24615	1
MRI_faces_122	2	1	1060.jpg	21.24693	24	999000	240	999000	999	22.26375	700	766.67	52	10	0.28	21.24693	1
MRI_faces_122	2	1	2194.jpg	23.24734	24	999000	240	999000	999	24.26405	700	766.67	39	54	0.43	23.24734	1
MRI_faces_122	2	1	2112.jpg	25.24769	12	999000	120	999000	999	26.26447	700	766.67	5	45	0.81	25.24769	1
MRI_faces_122	2	1	1027.jpg	28.24841	11	914.0461	110	700.3191	98	29.26501	716.67	766.67	8	5	0.74	28.24841	1
MRI_faces_122	2	1	2094.jpg	30.24846	12	999000	120	999000	999	31.26536	716.67	766.67	20	43	0.63	30.24846	1
MRI_faces_122	2	1	1013.jpg	34.24921	12	999000	120	999000	999	35.26596	716.67	766.67	7	2	0.74	34.24921	1
MRI_faces_122	2	1	2006.jpg	40.25022	12	999000	120	999000	999	41.26712	716.67	766.67	12	31	0.7	40.25022	1
MRI_faces_122	2	1	1035.jpg	43.25085	12	999000	120	999000	999	44.26757	716.67	766.67	15	7	0.67	43.25085	1
MRI_faces_122	2	1	2118.jpg	45.25115	12	999000	120	999000	999	46.2681	716.67	766.67	21	46	0.58	45.25115	1
MRI_faces_122	2	1	1031.jpg	47.24021	12	999000	120	999000	999	48.25692	716.67	766.67	6	6	0.74	47.24021	1
MRI_faces_122	2	1	1226.jpg	49.24025	24	999000	240	999000	999	50.25703	716.67	766.67	47	27	0.34	49.24025	1
MRI_faces_122	2	1	1050.jpg	51.24029	11	975.1511	110	716.9515	98	52.25695	733.33	766.67	17	8	0.66	51.24029	1
MRI_faces_122	2	1	2058.jpg	54.24035	22	1266.115	2200	766.9754	98	55.25697	733.33	716.67	49	40	0.31	54.24035	1
MRI_faces_122	2	1	2041.jpg	58.24038	24	999000	240	999000	999	59.25716	733.33	716.67	58	36	0.11	58.24038	1
MRI_faces_122	2	1	2039.jpg	61.24042	11	961.0381	110	733.6196	98	62.25716	750	716.67	16	35	0.67	61.24042	1
MRI_faces_122	2	1	2043.jpg	65.24056	12	999000	120	999000	999	66.25718	750	716.67	22	37	0.58	65.24056	1
MRI_faces_122	2	1	1145.jpg	70.24056	24	545.8934	24	999000	98	71.25722	750	716.67	40	16	0.42	70.24056	1
MRI_faces_122	2	1	1052.jpg	74.24067	24	999000	240	999000	999	75.25727	750	716.67	53	9	0.27	74.24067	1
MRI_faces_122	2	1	2155.jpg	77.24065	24	999000	240	999000	999	78.2573	750	716.67	42	51	0.4	77.24065	1
MRI_faces_122	2	1	1173.jpg	79.2407	22	950.7471	220	716.9791	98	80.25734	750	733.33	54	19	0.26	79.2407	1
MRI_faces_122	2	1	1017.jpg	81.24088	24	999000	240	999000	999	82.25767	750	733.33	55	3	0.26	81.24088	1
MRI_faces_122	2	1	1019.jpg	88.24204	22	994.4291	220	733.6527	98	89.25891	750	750	43	4	0.4	88.24204	1
MRI_faces_122	2	1	1080.jpg	91.24259	12	999000	120	999000	999	92.25938	750	750	4	12	0.83	91.24259	1
MRI_faces_122	2	1	2015.jpg	93.24291	11	959.5504	110	750.2647	98	94.25976	766.67	750	14	33	0.67	93.24291	1
MRI_faces_122	2	1	1183.jpg	97.24366	24	999000	240	999000	999	98.26042	766.67	750	56	20	0.19	97.24366	1
MRI_faces_122	2	1	2212.jpg	99.24402	12	999000	120	999000	999	100.2607	766.67	750	13	56	0.7	99.24402	1
MRI_faces_122	2	1	1150.jpg	102.2445	22	966.9516	220	750.3174	98	103.2613	766.67	766.67	46	18	0.34	102.2445	1
MRI_faces_122	2	1	1007.jpg	104.2449	24	999000	240	999000	999	105.2618	766.67	766.67	41	1	0.42	104.2449	1
MRI_faces_122	2	1	2164.jpg	108.2456	24	999000	240	999000	999	109.2623	766.67	766.67	44	52	0.4	108.2456	1
MRI_faces_122	2	1	2089.jpg	110.2459	11	971.5019	110	766.944	98	111.2627	783.33	766.67	11	42	0.7	110.2459	1
MRI_faces_122	2	1	2125.jpg	114.2467	12	999000	120	999000	999	115.2634	783.33	766.67	19	47	0.64	114.2467	1
MRI_faces_122	2	1	1130.jpg	117.2471	24	999000	240	999000	999	118.2639	783.33	766.67	45	15	0.37	117.2471	1
MRI_faces_122	2	1	2248.jpg	119.2474	12	999000	120	999000	999	120.2643	783.33	766.67	3	60	0.86	119.2474	1
MRI_faces_122	2	1	2045.jpg	122.2482	22	1002.308	2200	766.9434	98	123.2654	783.33	716.67	51	38	0.29	122.2482	1
MRI_faces_122	2	2	2089.jpg	124.0414	11	1186.046	1100	783.6711	98	125.058	733.33	716.67	11	42	0.7	124.0414	1
MRI_faces_122	2	2	1191.jpg	127.0414	11	1005.113	1100	733.617	98	128.0609	683.33	716.67	9	21	0.71	127.0414	1
MRI_faces_122	2	2	2125.jpg	131.0416	12	999000	120	999000	999	132.0582	683.33	716.67	19	47	0.64	131.0416	1
MRI_faces_122	2	2	1130.jpg	134.0415	24	999000	240	999000	999	135.0581	683.33	716.67	45	15	0.37	134.0415	1
MRI_faces_122	2	2	1031.jpg	138.0416	12	999000	120	999000	999	139.0582	683.33	716.67	6	6	0.74	138.0416	1
MRI_faces_122	2	2	2118.jpg	141.0417	12	999000	120	999000	999	142.0583	683.33	716.67	21	46	0.58	141.0417	1
MRI_faces_122	2	2	2112.jpg	143.0417	12	999000	120	999000	999	144.0583	683.33	716.67	5	45	0.81	143.0417	1
MRI_faces_122	2	2	2043.jpg	146.0418	12	999000	120	999000	999	147.0583	683.33	716.67	22	37	0.58	146.0418	1
MRI_faces_122	2	2	2045.jpg	149.0417	22	984.7903	220	716.9675	98	150.0584	683.33	733.34	51	38	0.29	149.0417	1
MRI_faces_122	2	2	2039.jpg	154.0419	11	931.6113	110	683.6447	98	155.0586	700	733.34	16	35	0.67	154.0419	1
MRI_faces_122	2	2	1204.jpg	156.0418	24	999000	240	999000	999	157.0585	700	733.34	50	24	0.29	156.0418	1
MRI_faces_122	2	2	2006.jpg	158.0419	12	999000	120	999000	999	159.0585	700	733.34	12	31	0.7	158.0419	1
