subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	ixationTime	onset	duration
MRI_faces_103	1	1	4	1	1	2.022766	1191.jpg	1173.jpg	46	50	0	b	2	0	905.14	0.3	0.25	3.432303	2.022766	0.90514
MRI_faces_103	1	1	4	1	2	5.022858	2024.jpg	2063.jpg	12	8	1	y	1	0	1092.06	0.75	0.8	6.615135	5.022858	1.09206
MRI_faces_103	1	1	4	1	3	8.022881	2118.jpg	1262.jpg	6	55	1	b	4	1	747.05	0.81	0.23	9.273068	8.022881	0.74705
MRI_faces_103	1	1	4	1	4	13.02299	1027.jpg	1146.jpg	44	43	1	b	2	1	922.92	0.32	0.34	14.4398	13.02299	0.92292
MRI_faces_103	1	1	4	1	5	18.023	2024.jpg	2209.jpg	12	11	1	y	1	0	809.92	0.75	0.77	19.33413	18.023	0.80992
MRI_faces_103	1	1	4	1	6	25.02309	2218.jpg	1210.jpg	16	7	0	b	1	0	1034.82	0.65	0.8	26.55664	25.02309	1.03482
MRI_faces_103	1	1	4	1	7	29.02314	2039.jpg	2006.jpg	14	15	0	b	1	0	974.75	0.69	0.67	30.48998	29.02314	0.97475
MRI_faces_103	1	1	4	1	8	32.02323	1192.jpg	1017.jpg	54	52	0	b	2	0	1118.68	0.23	0.24	33.64011	32.02323	1.11868
MRI_faces_103	1	1	4	1	9	39.02335	1210.jpg	2209.jpg	7	11	1	b	1	1	683.56	0.8	0.77	40.20694	39.02335	0.68356
MRI_faces_103	1	1	4	1	10	43.02345	2218.jpg	2024.jpg	16	12	0	b	1	0	999.44	0.65	0.75	44.52356	43.02345	0.99944
MRI_faces_103	1	1	4	1	11	46.0234	1052.jpg	1146.jpg	47	43	1	x	2	999	999000	0.27	0.34	48.02371	46.0234	999
MRI_faces_103	1	1	4	1	12	50.02354	2125.jpg	2024.jpg	9	12	0	b	1	0	1119.38	0.79	0.75	51.64035	50.02354	1.11938
MRI_faces_103	1	1	4	1	13	54.02354	1150.jpg	1007.jpg	49	53	0	b	2	0	925.37	0.26	0.23	55.44033	54.02354	0.92537
MRI_faces_103	1	1	4	1	14	59.02419	2181.jpg	2039.jpg	13	14	1	b	1	1	1170.72	0.75	0.69	60.69134	59.02419	1.17072
MRI_faces_103	1	1	4	1	15	63.02499	1007.jpg	1246.jpg	53	51	1	x	2	999	999000	0.23	0.25	65.0254	63.02499	999
MRI_faces_103	1	1	4	1	16	67.02567	1210.jpg	2149.jpg	7	17	1	y	1	0	967.22	0.8	0.65	68.49265	67.02567	0.96722
MRI_faces_103	1	1	4	1	17	70.02787	1052.jpg	1192.jpg	47	54	1	b	2	1	875.04	0.27	0.23	71.39314	70.02787	0.87504
MRI_faces_103	1	1	4	1	18	80.0239	1052.jpg	1226.jpg	47	48	1	b	2	1	930.01	0.27	0.26	81.45741	80.0239	0.93001
MRI_faces_103	1	1	4	1	19	84.02399	1146.jpg	1173.jpg	43	50	0	y	2	1	1268.91	0.34	0.25	85.79566	84.02399	1.26891
MRI_faces_103	1	1	4	1	20	87.02414	2181.jpg	2209.jpg	13	11	1	y	1	0	1004.78	0.75	0.77	88.52959	87.02414	1.00478
MRI_faces_103	1	1	4	1	21	90.02408	2089.jpg	2218.jpg	18	16	1	b	1	1	907.83	0.64	0.65	91.43008	90.02408	0.90783
MRI_faces_103	1	1	4	1	22	94.02411	1017.jpg	1146.jpg	52	43	1	b	2	1	1328.78	0.24	0.34	95.84748	94.02411	1.32878
MRI_faces_103	1	1	4	1	23	100.0243	1192.jpg	1173.jpg	54	50	0	x	2	999	999000	0.23	0.25	102.0244	100.0243	999
MRI_faces_103	1	1	4	1	24	103.0242	2110.jpg	2118.jpg	56	6	0	y	4	1	1058.68	0.22	0.81	104.5824	103.0242	1.05868
MRI_faces_103	1	1	4	1	25	106.0243	1191.jpg	1052.jpg	46	47	0	b	2	0	1350.62	0.3	0.27	107.8746	106.0243	1.35062
MRI_faces_103	1	1	4	1	26	110.0244	2229.jpg	2209.jpg	10	11	1	b	1	1	1094.48	0.78	0.77	111.6168	110.0244	1.09448
MRI_faces_103	1	1	4	1	27	113.0244	1019.jpg	1150.jpg	45	49	1	b	2	1	983.52	0.31	0.26	114.5079	113.0244	0.98352
MRI_faces_103	1	1	4	1	28	116.0245	1246.jpg	1017.jpg	51	52	0	y	2	1	1078.39	0.25	0.24	117.6013	116.0245	1.07839
MRI_faces_103	1	1	4	1	29	130.0246	1150.jpg	1173.jpg	49	50	0	b	2	0	1439.27	0.26	0.25	131.9581	130.0246	1.43927
MRI_faces_103	1	1	4	1	30	140.0248	1191.jpg	1007.jpg	46	53	0	b	2	0	855.14	0.3	0.23	141.3749	140.0248	0.85514
MRI_faces_103	1	1	4	1	31	146.025	2125.jpg	2229.jpg	9	10	0	y	1	1	715.95	0.79	0.78	147.2416	146.025	0.71595
MRI_faces_103	1	1	4	1	32	150.0249	1192.jpg	1027.jpg	54	44	0	y	2	1	1232.98	0.23	0.32	151.7584	150.0249	1.23298
MRI_faces_103	1	1	4	1	33	156.025	2149.jpg	2024.jpg	17	12	0	b	1	0	1065.89	0.65	0.75	157.5918	156.025	1.06589
MRI_faces_103	1	1	4	1	34	160.0252	2229.jpg	2218.jpg	10	16	1	y	1	0	1212.73	0.78	0.65	161.7257	160.0252	1.21273
MRI_faces_103	1	1	4	1	35	166.0263	2063.jpg	2006.jpg	8	15	0	b	1	0	1009.64	0.8	0.67	167.5267	166.0263	1.00964
MRI_faces_103	1	1	4	1	36	178.0294	2006.jpg	2149.jpg	15	17	1	y	1	0	751.52	0.67	0.65	179.2787	178.0294	0.75152
MRI_faces_103	1	1	4	1	37	181.0253	1226.jpg	1017.jpg	48	52	0	x	2	999	999000	0.26	0.24	183.0255	181.0253	999
MRI_faces_103	1	1	4	1	38	188.0254	2181.jpg	2218.jpg	13	16	1	y	1	0	1113.53	0.75	0.65	189.6305	188.0254	1.11353
