subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	itemNameIndex	bidValue	onset	duration
MRI_faces_134	2	3	1246.jpg	2.421631	12	999000	120	999000	999	3.439074	750	816.67	21	28	0.59	2.421631	1
MRI_faces_134	2	3	2043.jpg	6.412786	24	999000	240	999000	999	7.429395	750	816.67	39	37	0.43	6.412786	1
MRI_faces_134	2	3	1150.jpg	8.412964	22	998.4775	220	818.4865	98	9.433089	750	833.34	51	18	0.23	8.412964	1
MRI_faces_134	2	3	1035.jpg	13.41265	11	944.7931	110	751.7758	98	14.42951	766.67	833.34	14	7	0.68	13.41265	1
MRI_faces_134	2	3	2153.jpg	15.4129	11	960.5529	110	766.9455	98	16.42956	783.33	833.34	17	50	0.66	15.4129	1
MRI_faces_134	2	3	1204.jpg	17.41292	22	1013.532	2200	833.6082	98	18.44102	783.33	783.34	54	24	0.18	17.41292	1
MRI_faces_134	2	3	2181.jpg	21.4131	12	999000	120	999000	999	22.42971	783.33	783.34	19	53	0.62	21.4131	1
MRI_faces_134	2	3	1052.jpg	23.41314	24	999000	240	999000	999	24.42971	783.33	783.34	45	9	0.32	23.41314	1
MRI_faces_134	2	3	2128.jpg	25.41311	24	999000	240	999000	999	26.42977	783.33	783.34	44	48	0.39	25.41311	1
MRI_faces_134	2	3	2125.jpg	28.41308	12	999000	120	999000	999	29.42993	783.33	783.34	22	47	0.59	28.41308	1
MRI_faces_134	2	3	2041.jpg	30.41314	12	999000	120	999000	999	31.42986	783.33	783.34	6	36	0.82	30.41314	1
MRI_faces_134	2	3	2248.jpg	34.41326	12	999000	120	999000	999	35.42984	783.33	783.34	18	60	0.63	34.41326	1
MRI_faces_134	2	3	2006.jpg	40.41339	24	999000	240	999000	999	41.42998	783.33	783.34	52	31	0.22	40.41339	1
MRI_faces_134	2	3	1031.jpg	43.41337	11	984.0851	110	783.6014	98	44.43006	800	783.34	11	6	0.74	43.41337	1
MRI_faces_134	2	3	2218.jpg	45.41335	12	999000	120	999000	999	46.43001	800	783.34	12	57	0.7	45.41335	1
MRI_faces_134	2	3	2194.jpg	47.4135	24	999000	240	999000	999	48.43006	800	783.34	57	54	0.13	47.4135	1
MRI_faces_134	2	3	2240.jpg	49.41342	24	999000	240	999000	999	50.43009	800	783.34	47	59	0.31	49.41342	1
MRI_faces_134	2	3	1146.jpg	51.41354	22	973.8877	220	783.6185	98	52.43027	800	800	46	17	0.31	51.41354	1
MRI_faces_134	2	3	2212.jpg	54.414	12	999000	120	999000	999	55.43081	800	800	20	56	0.61	54.414	1
MRI_faces_134	2	3	1173.jpg	58.41475	12	999000	120	999000	999	59.43159	800	800	13	19	0.69	58.41475	1
MRI_faces_134	2	3	2039.jpg	61.41521	12	999000	120	999000	999	62.43205	800	800	5	35	0.84	61.41521	1
MRI_faces_134	2	3	1060.jpg	65.41587	24	999000	240	999000	999	66.43289	800	800	40	10	0.42	65.41587	1
MRI_faces_134	2	3	1255.jpg	70.4168	22	973.6518	220	800.2727	98	71.43359	800	816.67	49	29	0.29	70.4168	1
MRI_faces_134	2	3	2110.jpg	74.41752	24	999000	240	999000	999	75.43431	800	816.67	55	44	0.17	74.41752	1
MRI_faces_134	2	3	1080.jpg	77.41799	24	999000	240	999000	999	78.43489	800	816.67	56	12	0.14	77.41799	1
MRI_faces_134	2	3	1017.jpg	79.41834	12	999000	120	999000	999	80.43518	800	816.67	7	3	0.81	79.41834	1
