subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	itemNameIndex	bidValue	onset	duration
MRI_faces_128	2	3	2153.jpg	2.411728	11	1042.236	1100	819.4565	98	3.428885	766.66	750	8	50	0.76	2.411728	1
MRI_faces_128	2	3	1130.jpg	7.411434	24	999000	240	999000	999	8.428152	766.66	750	56	15	0.21	7.411434	1
MRI_faces_128	2	3	2125.jpg	9.411473	24	999000	240	999000	999	10.42819	766.66	750	50	47	0.29	9.411473	1
MRI_faces_128	2	3	1073.jpg	12.41152	11	1139.45	1100	768.4633	98	13.42816	716.66	750	16	11	0.68	12.41152	1
MRI_faces_128	2	3	1019.jpg	15.41173	12	999000	120	999000	999	16.42842	716.66	750	4	4	0.82	15.41173	1
MRI_faces_128	2	3	1210.jpg	22.41255	12	999000	120	999000	999	23.42932	716.66	750	10	25	0.74	22.41255	1
MRI_faces_128	2	3	1246.jpg	24.41293	24	999000	240	999000	999	25.42969	716.66	750	42	28	0.35	24.41293	1
MRI_faces_128	2	3	1204.jpg	28.4136	24	999000	240	999000	999	29.43049	716.66	750	47	24	0.31	28.4136	1
MRI_faces_128	2	3	2094.jpg	30.41401	24	999000	240	999000	999	31.43081	716.66	750	39	43	0.38	30.41401	1
MRI_faces_128	2	3	1035.jpg	35.41487	12	999000	120	999000	999	36.43171	716.66	750	6	7	0.78	35.41487	1
MRI_faces_128	2	3	2045.jpg	39.41555	24	999000	240	999000	999	40.4324	716.66	750	40	38	0.36	39.41555	1
MRI_faces_128	2	3	1013.jpg	41.41591	22	947.0536	220	752.3048	98	42.43273	716.66	766.67	46	2	0.32	41.41591	1
MRI_faces_128	2	3	2149.jpg	44.41648	22	964.5044	220	766.9199	98	45.43325	716.66	783.33	43	49	0.33	44.41648	1
MRI_faces_128	2	3	1173.jpg	47.41696	24	999000	240	999000	999	48.43379	716.66	783.33	53	19	0.26	47.41696	1
MRI_faces_128	2	3	1183.jpg	51.41213	22	963.8217	220	783.6066	98	52.42885	716.66	800	51	20	0.29	51.41213	1
MRI_faces_128	2	3	2212.jpg	55.41223	22	1061.728	2200	800.308	98	56.42893	716.66	750	49	56	0.3	55.41223	1
MRI_faces_128	2	3	1031.jpg	59.41225	12	999000	120	999000	999	60.42903	716.66	750	7	6	0.76	59.41225	1
