** CONVERTED FROM /Users/tomsalomon/Drive/Experiment_Israel/Codes/MRI_faces/Output/MRI_faces_113_Training_run_12_to_run_14_18-Jul-2016_14h32m.edf using edfapi 4.0 MacOS X Jul  4 2014 on Mon Jul  9 15:09:03 2018
** DATE: Mon Jul 18 14:32:18 2016
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.04 Sep 25 2014
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BHC
** SERIAL NUMBER: CLO-ZAF17
** CAMERA_CONFIG: ZAF17140.SCD
**

MSG	3081778 DRIFTCORRECT R RIGHT at 960,540  OFFSET 0.77 deg.  -36.8,47.0 pix.
INPUT	3120400	127
MSG	3120400 RECCFG CR 250 2 1 R
MSG	3120400 ELCLCFG MLRR
MSG	3120400 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	3120400 THRESHOLDS R 68 225
MSG	3120400 ELCL_WINDOW_SIZES 176 188 0 0
MSG	3120400 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	3120400 ELCL_PROC CENTROID (3)
MSG	3120400 ELCL_PCR_PARAM 5 3.0
START	3120401 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	HREF	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2	INPUT
SFIX R   3120401
MSG	3120401 !MODE RECORD CR 250 2 1 R
3120693	  911.0	  655.2	 1325.0	  127.0	...
3120697	  912.1	  655.3	 1328.0	  127.0	...
3120701	  914.3	  654.6	 1326.0	  127.0	...
3120705	  914.6	  654.7	 1329.0	  127.0	...
3120709	  915.9	  657.8	 1332.0	  127.0	...
3120713	  916.3	  657.5	 1328.0	  127.0	...
3120717	  916.0	  657.9	 1329.0	  127.0	...
3120721	  915.5	  662.7	 1341.0	  127.0	...
3120725	  912.9	  662.8	 1345.0	  127.0	...
3120729	  912.2	  659.8	 1339.0	  127.0	...
3120733	  913.4	  660.1	 1336.0	  127.0	...
3120737	  914.1	  660.5	 1342.0	  127.0	...
3120741	  914.6	  659.8	 1350.0	  127.0	...
3120745	  916.9	  659.9	 1350.0	  127.0	...
3120749	  917.0	  659.3	 1347.0	  127.0	...
3120753	  915.2	  658.1	 1346.0	  127.0	...
3120757	  915.5	  660.5	 1346.0	  127.0	...
3120761	  917.0	  662.2	 1348.0	  127.0	...
3120765	  917.5	  661.0	 1349.0	  127.0	...
3120769	  917.6	  661.3	 1353.0	  127.0	...
3120773	  917.7	  661.5	 1356.0	  127.0	...
3120777	  917.9	  660.6	 1361.0	  127.0	...
3120781	  916.9	  660.6	 1361.0	  127.0	...
3120785	  914.3	  666.9	 1358.0	  127.0	...
3120789	  912.0	  677.6	 1361.0	  127.0	...
3120793	  909.9	  683.7	 1367.0	  127.0	...
EFIX R   3120401	3120793	396	 -146.0	  751.0	   1299	  917.3	  655.3	   1299
SSACC R  3120797
3120797	  910.3	  693.8	 1366.0	  127.0	...
3120801	  917.5	  708.0	 1348.0	  127.0	...
3120805	  922.7	  775.9	 1273.0	  127.0	...
3120809	  914.1	  881.0	 1117.0	  127.0	...
3120813	  753.5	  975.7	  849.0	  127.0	...
3120817	  -56.2	  846.2	  377.0	  127.0	...
3120821	 -518.7	  445.8	  177.0	  127.0	...
3120825	 -464.1	  154.1	   95.0	  127.0	...
3120829	 -420.7	   75.7	   65.0	  127.0	...
SBLINK R 3120833
3120833	   .	   .	    0.0	  127.0	...
3120837	   .	   .	    0.0	  127.0	...
3120841	   .	   .	    0.0	  127.0	...
3120845	   .	   .	    0.0	  127.0	...
3120849	   .	   .	    0.0	  127.0	...
3120853	   .	   .	    0.0	  127.0	...
3120857	   .	   .	    0.0	  127.0	...
3120861	   .	   .	    0.0	  127.0	...
3120865	   .	   .	    0.0	  127.0	...
3120869	   .	   .	    0.0	  127.0	...
3120873	   .	   .	    0.0	  127.0	...
3120877	   .	   .	    0.0	  127.0	...
3120881	   .	   .	    0.0	  127.0	...
3120885	   .	   .	    0.0	  127.0	...
EBLINK R 3120833	3120885	56
