trial,time,stimulus,RT,KeyPressed,Is correct
1,,Fixation,,,
2,,Fixation,,,
3,,Fixation,,,
4,,Fixation,,,
5,,Fixation,,,
6,,Fixation,,,
7,,Fixation,,,
8,,Fixation,,,
9,,Fixation,,,
10,,Fixation,,,
11,,Fixation,,,
12,,Fixation,,,
13,,Fixation,,,
14,,Fixation,,,
15,,Fixation,,,
16,,Fixation,,,
236,235.0425,MVI_0919_new.avi,none,none,TRUE
237,236.0421,MVI_0936_new.avi,none,none,TRUE
238,237.0421,MVI_0915_new.avi,none,none,TRUE
239,238.0421,MVI_0915_new.avi,0.66404,b,TRUE
240,239.042,MVI_0929_new.avi,none,none,TRUE
241,,Fixation,,,
242,,Fixation,,,
243,,Fixation,,,
244,,Fixation,,,
245,,Fixation,,,
246,,Fixation,,,
247,,Fixation,,,
248,,Fixation,,,
249,,Fixation,,,
250,,Fixation,,,
251,,Fixation,,,
252,,Fixation,,,
253,,Fixation,,,
254,,Fixation,,,
255,,Fixation,,,
256,,Fixation,,,
257,256.0248,StopWatch.avi,none,none,TRUE
258,257.074,Leaves.avi,none,none,TRUE
259,258.0262,Globe.avi,none,none,TRUE
260,259.0262,Globe.avi,0.59367,b,TRUE
261,260.0262,Toilet.avi,none,none,TRUE
262,261.0261,Coffee.avi,none,none,TRUE
263,262.0261,Tennis.avi,none,none,TRUE
264,263.0261,Water.avi,none,none,TRUE
265,264.0262,Flag.avi,none,none,TRUE
266,265.0257,Fan.avi,none,none,TRUE
267,266.0262,Tire.avi,none,none,TRUE
268,267.0262,Discs.avi,none,none,TRUE
269,268.0261,RecPlayer.avi,none,none,TRUE
270,269.0261,Opener.avi,none,none,TRUE
271,270.0262,Candle.avi,none,none,TRUE
272,271.0261,Candle.avi,0.59592,b,TRUE
273,272.0309,MVI_0932_new.avi,none,none,TRUE
274,273.0493,MVI_0934_new.avi,none,none,TRUE
275,274.0323,MVI_0930_new.avi,none,none,TRUE
276,275.0322,MVI_0921_new.avi,none,none,TRUE
