""	"time"	"x"	"y"	"pupil"	"V1"	"phase"	"trial"	"scan"	"session"	"isgoitem"	"ishvitem"	"isprobeitem"	"event"	"eventnumber"	"valid"	"looking"
"1"	3714983	1070.3	677.7	1983	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"2"	3714987	1063.2	677.2	1984	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"3"	3714991	1062.1	679.1	1988	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"4"	3714995	1066.2	679.7	1992	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"5"	3714999	1072.5	676.2	1995	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"6"	3715003	1069.7	671.3	1997	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"7"	3715007	1067.2	671.7	1997	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"8"	3715011	1068.1	671.8	1999	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"9"	3715015	1068.5	667.2	1999	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"10"	3715019	1064.4	672.7	2004	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"11"	3715023	1060.8	677.5	2006	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"12"	3715027	1060.8	677.6	2005	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"13"	3715031	1058.9	677.5	2005	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"14"	3715035	1057.3	676.2	2007	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"15"	3715039	1056.9	676.3	2013	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"16"	3715043	1066.3	676.1	2018	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"17"	3715047	1067.1	675.2	2018	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"18"	3715051	1065.1	673.3	2021	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"19"	3715055	1062	673.6	2025	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"20"	3715059	1060	683.5	2030	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"21"	3715063	1062.9	686.3	2029	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"22"	3715067	1069.2	686.5	2027	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"23"	3715071	1073.2	675.5	2027	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"24"	3715075	1071.1	668.2	2029	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"25"	3715079	1065.7	673.7	2031	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"26"	3715083	1065.2	674.2	2034	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"27"	3715087	1065.4	675.4	2038	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"28"	3715091	1061.6	679.4	2044	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"29"	3715095	1056.2	684.4	2049	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"30"	3715099	1058.6	690.6	2048	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"31"	3715103	1064.2	691.6	2049	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"32"	3715107	1065.4	679	2049	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"33"	3715111	1064.1	672.2	2048	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"34"	3715115	1058.9	677.7	2053	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"35"	3715119	1062.2	679	2057	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"36"	3715123	1063.6	679.2	2057	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"37"	3715127	1063.4	679.3	2057	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"38"	3715131	1062.4	679.4	2059	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"39"	3715135	1063.7	678.3	2061	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
