""	"time"	"x"	"y"	"pupil"	"V1"	"phase"	"trial"	"scan"	"session"	"isgoitem"	"ishvitem"	"isprobeitem"	"event"	"eventnumber"	"valid"	"looking"
"1"	6050253	875.8	621.4	3384	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"2"	6050257	875.7	619	3387	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"3"	6050261	876.5	618.1	3388	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"4"	6050265	877.4	619.1	3387	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"5"	6050269	878.1	619	3386	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"6"	6050273	877.4	621.2	3389	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"7"	6050277	880	626	3393	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"8"	6050281	879.7	626.2	3396	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"9"	6050285	877.9	624.6	3394	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"10"	6050289	877.4	624.1	3396	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"11"	6050293	877.8	625.5	3398	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"12"	6050297	878	627.6	3394	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"13"	6050301	875	627.1	3393	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	TRUE	NA
"14"	6050305	870	617.6	3399	127	NA	NA	2	1	NA	NA	NA	"saccade"	183	TRUE	NA
"15"	6050309	862.7	600	3402	127	NA	NA	2	1	NA	NA	NA	"saccade"	183	TRUE	NA
"16"	6050313	860	595.8	3395	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"17"	6050317	861.3	594.8	3397	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"18"	6050321	865	595	3407	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"19"	6050325	869.1	595.2	3406	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"20"	6050329	872.4	595	3400	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"21"	6050333	871.4	597.8	3403	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"22"	6050337	869.2	601.3	3401	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"23"	6050341	870.6	603.5	3399	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"24"	6050345	871.8	603.2	3402	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"25"	6050349	869.2	602.2	3406	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"26"	6050353	867.7	603.1	3406	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"27"	6050357	868.5	602.4	3399	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"28"	6050361	869	603.9	3407	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"29"	6050365	868.8	604.6	3412	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"30"	6050369	868.5	605.6	3413	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"31"	6050373	868.9	607.8	3413	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"32"	6050377	868.6	608.9	3415	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"33"	6050381	867	608	3417	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"34"	6050385	865.7	608.6	3416	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"35"	6050389	864.9	608.9	3412	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"36"	6050393	863.6	610.9	3414	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"37"	6050397	863.8	613.7	3416	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"38"	6050401	865.2	612.6	3415	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"39"	6050405	865.5	611.9	3415	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"40"	6050409	865.8	611.7	3416	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"41"	6050413	864.8	609.7	3415	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"42"	6050417	864.8	607.3	3410	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"43"	6050421	864.1	605.5	3407	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"44"	6050425	864.4	605	3410	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"45"	6050429	865.6	605.3	3413	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"46"	6050433	865.8	605.8	3419	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"47"	6050437	866.2	606.8	3422	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"48"	6050441	865.3	608	3421	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"49"	6050445	865.9	605.7	3422	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"50"	6050449	867.5	606.7	3423	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"51"	6050453	866.2	609.3	3423	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"52"	6050457	865.5	609.5	3420	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"53"	6050461	867.2	608.5	3419	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"54"	6050465	866.3	606.8	3418	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"55"	6050469	865.4	606.9	3418	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"56"	6050473	865.7	606.5	3421	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"57"	6050477	865.8	607.5	3424	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"58"	6050481	866	609.2	3417	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"59"	6050485	866.9	610	3413	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"60"	6050489	868.1	610.3	3418	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"61"	6050493	868.4	609.8	3425	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"62"	6050497	868.1	608.9	3430	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"63"	6050501	868.2	611.4	3431	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"64"	6050505	867	613.1	3432	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"65"	6050509	865.3	612	3431	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"66"	6050513	865.3	611.7	3424	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"67"	6050517	865.5	611.1	3430	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"68"	6050521	865.9	610.4	3427	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"69"	6050525	867.7	611.4	3426	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"70"	6050529	867.5	611.4	3425	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"71"	6050533	866.4	611.2	3422	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"72"	6050537	867.5	609.8	3423	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
"73"	6050541	867.7	611.7	3428	127	NA	NA	2	1	NA	NA	NA	"fixation"	2	TRUE	NA
