""	"time"	"x"	"y"	"pupil"	"V1"	"phase"	"trial"	"scan"	"session"	"isgoitem"	"ishvitem"	"isprobeitem"	"event"	"eventnumber"	"valid"	"looking"
"1"	7348542	926.4	618	2719	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"2"	7348546	925.8	616.3	2714	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"3"	7348550	924	617.3	2718	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"4"	7348554	923.9	618.6	2723	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"5"	7348558	924.3	618.5	2715	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"6"	7348562	925.3	617.1	2713	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"7"	7348566	925.3	617	2715	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"8"	7348570	925.7	618.5	2713	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"9"	7348574	926.3	618.5	2713	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"10"	7348578	926	617.4	2716	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"11"	7348582	926.2	617	2717	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"12"	7348586	926.6	617.3	2715	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"13"	7348590	926.5	617.4	2710	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"14"	7348594	926.3	617.8	2709	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"15"	7348598	927.4	616.1	2715	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"16"	7348602	927.9	615.4	2716	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"17"	7348606	927.8	617.5	2715	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"18"	7348610	928.4	618.4	2711	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"19"	7348614	928.2	618.8	2710	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"20"	7348618	927.7	618.8	2710	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"21"	7348622	927.8	618.9	2710	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"22"	7348626	929	617.9	2709	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"23"	7348630	928.5	617.2	2706	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"24"	7348634	929.3	616.7	2708	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"25"	7348638	929.7	617	2712	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"26"	7348642	929.4	618.5	2713	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"27"	7348646	930.6	618	2710	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"28"	7348650	931.3	618.3	2708	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"29"	7348654	931.2	620.1	2707	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"30"	7348658	932.9	615	2708	127	NA	NA	2	1	NA	NA	NA	"saccade"	197	FALSE	NA
"31"	7348662	934.6	592.5	2720	127	NA	NA	2	1	NA	NA	NA	"saccade"	197	FALSE	NA
"32"	7348666	934.6	560.8	2746	127	NA	NA	2	1	NA	NA	NA	"saccade"	197	FALSE	NA
"33"	7348670	941.4	576.6	2745	127	NA	NA	2	1	NA	NA	NA	"saccade"	197	FALSE	NA
"34"	7348674	956.3	696.6	2642	127	NA	NA	2	1	NA	NA	NA	"saccade"	197	FALSE	NA
"35"	7348678	1004.1	937.6	2402	127	NA	NA	2	1	NA	NA	NA	"saccade"	197	FALSE	NA
"36"	7348682	1128.7	1318.7	2026	127	NA	NA	2	1	NA	NA	NA	"saccade"	197	FALSE	NA
