""	"time"	"x"	"y"	"pupil"	"V1"	"phase"	"trial"	"scan"	"session"	"isgoitem"	"ishvitem"	"isprobeitem"	"event"	"eventnumber"	"valid"	"looking"
"1"	2865145	986	519.9	2062	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"2"	2865149	987.1	519.3	2060	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"3"	2865153	989.2	523	2051	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"4"	2865157	989.3	531.5	2044	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"5"	2865161	989.1	528.3	2049	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"6"	2865165	990.3	514.8	2053	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"7"	2865169	989.1	511.1	2055	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"8"	2865173	989.3	514	2057	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"9"	2865177	986.4	521.1	2051	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"10"	2865181	989.3	516.7	2064	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"11"	2865185	993.5	513.4	2073	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"12"	2865189	991.9	515.2	2056	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"13"	2865193	984.6	527.4	2042	127	NA	NA	2	1	NA	NA	NA	"fixation"	1	FALSE	NA
"14"	2865197	985	536.3	2050	127	NA	NA	2	1	NA	NA	NA	"saccade"	459	FALSE	NA
"15"	2865201	982.8	536.3	2054	127	NA	NA	2	1	NA	NA	NA	"saccade"	459	FALSE	NA
"16"	2865205	941	520.6	2012	127	NA	NA	2	1	NA	NA	NA	"saccade"	459	FALSE	NA
"17"	2865209	784.8	430.4	1957	127	NA	NA	2	1	NA	NA	NA	"saccade"	459	FALSE	NA
